,morning_1,morning_2,morning_3,morning_4,morning_5,amsnack_1,amsnack_2,lunch_1,lunch_2,lunch_3,lunch_4,lunch_5,pmsnack_1,pmsnack_2,dinner_1,dinner_2,dinner_3,dinner_4,dinner_5
42,쌀밥(추가),팥죽,브로콜리달걀찜,감자채볶음,나박김치,empty,S우유(100ml),흑미밥,애호박두부젓국,소고기잡채,봄동부추겉절이,깻잎김치,S치즈스틱,S쌀음료,율무밥,모듬버섯찌개,오징어채소완자전,콩나물무침,깍두기
43,팥밥(40),맑은꽃게탕,검정콩조림,파프리카유자청무침,얼갈이배추김치,S감말랭이,S우유(200ml),카레라이스,실파장국,미니돈까스,깻잎나물,깍두기,S바나나(50g),S식혜,찹쌀밥,만두국,주꾸미채소간장볶음,팽이버섯나물,비트초절이
44,밤찹쌀팥밥,감자채맑은국,치즈달걀말이,브로콜리숙회+초고추장,나박김치,empty,S수제블루베리우유,고구마밥,조갯살순두부맑은국,돼지고기편육,양배추쌈,배추김치,S감말랭이,S단호박식혜,취나물표고영양밥,실파콩나물국,삼치구이,empty,나박김치
45,찹쌀밥,두부장국,스크램블에그,브로콜리나물,깍두기,S오이당근스틱,S수제블루베리우유,팥밥,감자국,돼지사태찜,숙주나물김무침,열무김치,S곶감,S검은깨두유(150ml),쌀밥,바지락국,깻잎동태포전,닭가슴살샐러드(머스타드소스),석박지
46,쌀밥,감자국,순살가자미찜,깻잎나물,나박김치,S아몬드,S수제블루베리우유,카레라이스,empty,치킨너겟+소스,양배추샐러드(딸기드레싱),단무지무침,S단팥죽,empty,완두콩밥,탕국,주꾸미볶음,고구마순된장무침,나박김치
47,팥밥,느타리버섯국,주꾸미채소간장볶음,애호박나물,석박지,S참깨우유스프,S사과(35g),브로콜리채소볶음밥,달걀파국,미트볼피망조림,도라지무침,비트초절이,S건포도감자볼,S수제블루베리우유,찹쌀밥,만두국,닭가슴살데리야끼조림,그린샐러드,깍두기
48,찹쌀현미밥,맑은육개장,두부구이,오이무침,단배추물김치,S군고구마,S오렌지주스(무가당),일본식소고기덮밥(규동),맑은장국,게맛살튀김,그린샐러드,비트초절이,S아몬드,S수제블루베리우유,검정콩밥,애호박국,닭가슴살간장조림,참나물볶음,배추김치
49,옥수수밥,느타리버섯국,녹두전,숙주초무침,깍두기,S견과류,S수제블루베리우유,찹쌀밥,김치국,주꾸미채소간장볶음,팽이버섯달걀전,단배추물김치,S건포도감자볼,S오렌지주스(무가당),돼지고기양배추덮밥,미니유부우동,토마토치즈범벅,empty,비트초절이
50,잡곡밥(40),배추맑은국,시금치달걀찜,곤드레나물,나박김치,S단감(50g),S우유(150ml),가지채소볶음밥,채소스프,웨지감자,푸실리샐러드(토마토소스),비트초절이,S밤식빵,S단호박식혜,찹쌀팥밥,콩나물육개장,주꾸미채소볶음,취나물무침,배추김치
51,율무밥,만두국,소고기양배추볶음,연두부샐러드(오리엔탈드레싱),깍두기,empty,S우유미숫가루,율무밥,표고버섯탕,오리훈제채소구이,삼색나물,열무물김치,S치즈,S토마토(100g),소고기가지덮밥,애호박두부젓국,찐만두,팽이버섯나물,비트초절이
