,morning_1,morning_2,morning_3,morning_4,morning_5,amsnack_1,amsnack_2,lunch_1,lunch_2,lunch_3,lunch_4,lunch_5,pmsnack_1,pmsnack_2,dinner_1,dinner_2,dinner_3,dinner_4,dinner_5
107,수수밥,만두국,메추리알케첩조림,고구마순된장무침,콜라비나박김치,S수박(100g),S쌀음료,소고기가지덮밥,달걀파국,물파래옥수수전,애호박건새우볶음,열무김치,S건포도감자볼,S우유(100ml),찹쌀밥,조랭이떡미역국,돼지고기채소구이,느타리버섯나물,비트초절이
108,콩밥,어묵국,메추리알장조림,파프리카유자청무침,백김치,S청경채죽,empty,가지채소볶음밥,아욱맑은국,닭안심애호박찜,empty,깍두기,S백설기,S우유(200ml),밤찹쌀팥밥,감자탕,해물김치전,건파래볶음,깍두기
109,팥밥,콩가루시금치국,삼색채소달걀말이,부추사과무침,백김치,empty,S수제바나나우유,쌀밥,애호박두부젓국,소고기장조림,아욱건새우전,나박김치,S참외샐러드,S오미자아이스크림,찹쌀밥,물만두국(가공만두),(저염)닭가슴살피망볶음,가지나물무침,백김치
110,파프리카유부초밥,감자국,단배추멸치조림,팽이버섯나물,백김치,S참깨우유스프,S파인애플(50g),밤콩밥,만두국,달걀간장조림,깻잎들깨나물,나박김치,S연두부샐러드(오리엔탈드레싱),S우유(150ml),율무밥,소갈비탕,해산물부추전,애호박볶음,깍두기
111,옥수수밥,매생이홍합국,토마토달걀볶음,오이무침,배추김치,S소고기감자죽,empty,열무비빔밥,느타리버섯국,조기구이,가지나물,나박김치,S단호박찜,S수제블루베리우유,쌀밥(추가),수제비아욱국,두부채소굴소스볶음,팽이버섯부추나물,깍두기
112,잡곡밥,실파맑은국,소고기피망볶음,곤드레나물,백김치,empty,S단호박식혜,가지채소볶음밥,감자된장국,삼치구이,고구마줄기볶음,나박김치,S참외(100g),S호두우유,밤찹쌀팥밥,콩나물국,삼겹살김치볶음,취나물무침,깍두기
113,수수밥,미역만두국,검정콩호두조림,콩나물무침,백김치,S바나나(100g),empty,찹쌀밥,모듬버섯국,닭찜,배무생채,단배추물김치,S모닝빵,S우유(200ml),나물비빔밥,아욱우렁된장국,삼치무조림,파프리카사과초무침,나박김치
114,쌀밥,무채국,메추리알어묵조림,애호박볶음,백김치,S바나나핫케이크,S오렌지주스,방울토마토새우볶음밥,맑은장국,팽이버섯달걀전,브로콜리깨소스무침,비트초절이,S백설기,S수제딸기우유,쌀밥,버섯찌개,순살간장닭갈비,양배추유자청무침,나박김치
115,쌀밥(30),팥죽,우엉채곤약조림,애호박생선살찜,단배추물김치,S치즈,empty,찹쌀밥,두부된장국,분홍소시지전,새송이버섯볶음,나박김치,S감자채요거트샐러드,S호두우유,쌀밥,맑은꽃게탕,미트볼피망조림,시금치나물,백김치
116,밤콩밥,실파달걀국,소고기장조림,가지나물무침,깍두기,empty,S토마토(100g),율무밥,만두국,라조기,브로콜리나물,백김치,empty,S수제딸기우유,찹쌀팥밥,유부김치국,주꾸미볶음,단호박호두조림,오이소박이김치
117,찹쌀밥,애호박맑은국,우엉채어묵조림,오이샐러드,총각김치,S건포도감자볼,S우유(200ml),찹쌀현미밥,부추재첩국,돼지고기단호박찜,숙주나물,나박김치,S아몬드,S수제블루베리우유,해물볶음밥,팽이미소국,달걀프라이,사과참외샐러드,비트초절이
118,쌀밥(추가),애호박국,달걀말이,고구마순나물,콜라비나박김치,S가래떡구이,S우유(200ml),김치영양밥,콩나물국,두부참치샐러드(유자청드레싱),참나물볶음,나박김치,S고구마샐러드(마요네즈),S포도주스,쌀밥,조갯살된장찌개,순살간장닭갈비,양배추유자청무침,열무김치
119,팥밥,달걀쑥국,소고기장조림,깻잎새콤무침,오이소박이김치,empty,S우유(150ml),찹쌀밥,채소스프,닭살찹스테이크,파프리카유자청무침,총각김치,empty,S쌀음료,새우파래볶음밥,조랭이떡미역국,군만두,양배추샐러드(레몬드레싱),비트초절이
120,수수밥,느타리버섯국,달걀말이,도토리묵간장무침,배추김치,S귤(80g),S단호박식혜,밤콩밥,바지락살무국,소고기청경채볶음,고구마순된장무침,깍두기,empty,S수제블루베리바나나우유,새우크림스파게티,empty,채소크로켓,참외노각무침,나박김치
121,율무밥,달래맑은국,소고기사태장조림,미역줄기당근볶음,백김치,S당근스프,empty,마파두부밥,맑은가쓰오부시장국,군만두,양상추샐러드,비트초절이,empty,S수제블루베리우유,밤밥,버섯개장,닭살데리야끼조림,파프리카유자청무침,백김치
122,팥밥,만두닭개장,건새우애호박볶음,콩나물무침,나박김치,S파프리카스틱,empty,돼지고기양배추덮밥,느타리버섯국,콩비지김치전,empty,깍두기,S파인애플(50g),S우유(200ml),찹쌀밥,두부전골,주꾸미채소간장볶음,가지양념찜,깍두기
123,찹쌀밥,무들깨국,메추리알피망볶음,오이무침,단배추물김치,S참깨타락죽,S귤(50g),율무밥,미역국,가자미무조림,부추깻잎전,백김치,S연두부샐러드(오리엔탈드레싱),S호두우유,찹쌀팥밥,안매운닭개장,어묵오징어무침,느타리버섯나물,콜라비나박김치
124,쌀밥,애호박젓국찌개,달걀찜(40g),양파어묵전,백김치,S바나나(50g),S우유(200ml),열무보리간장비빔밥,맑은순두부국,닭살데리야끼조림,empty,나박김치,S고구마샐러드(마요네즈),S오렌지주스(무가당),쌀밥,감자국,돼지목살구이,상추겉절이,단배추물김치
125,밤찹쌀팥밥,김치맑은국,달걀숙주냉채,가지양념무침,백김치,S오렌지(50g),S우유(200ml),소고기양배추덮밥,버섯맑은국,해물부추전,empty,깍두기,empty,S수제바나나우유,찹쌀밥,만두국,돼지고기사태찜,브로콜리깨소스무침,열무김치
126,고구마밥,바지락국,(저염)닭가슴살단호박조림,양상추샐러드(키위드레싱),백김치,S팥죽,empty,소고기카레라이스,애호박맑은국,팽이버섯달걀전,참나물겉절이,깍두기,empty,S수제블루베리바나나우유,찹쌀보리밥,김치두부국,주꾸미채소볶음,파프리카유자청무침,깍두기
127,밤찹쌀팥밥,유부배추국,두부데리야끼구이,사과샐러드(발사믹드레싱),나박김치,empty,S우유미숫가루,소고기가지덮밥,감자국,군만두,파프리카유자청무침,깍두기,empty,S우유(150ml),찹쌀밥,맑은육개장,오리훈제구이(머스타드소스),팽이버섯나물,백김치
128,밤콩밥,애호박맑은국,채소달걀말이,콩나물무침,배추김치,empty,S수제블루베리우유,일본식소고기덮밥(규동),맑은장국,새우춘권튀김,empty,콜라비나박김치,S채소전,S쌀음료,팥밥,떡만두국,메추리알장조림,고구마순나물,깍두기
129,수수밥,배추당면국,돼지고기채소조림,팽이버섯나물,나박김치,S아몬드,S수제블루베리우유,새우카레볶음밥,미니유부우동,감자버터구이,양상추샐러드(발사믹드레싱),나박김치,S치즈스틱,S토마토주스,찹쌀팥밥,애호박국,소고기당면불고기,씻은김치전,단배추물김치
130,콩밥,무채양파국,달걀말이,애호박나물,백김치,S거봉(100g),empty,치킨마요덮밥,감자채맑은국,녹두전,파프리카무침,단무지,empty,S수제딸기우유,완두콩밥,바지락파래국,미트볼조림,김자반,열무김치
131,쌀밥(추가),감자국,미트볼조림,부추양파생채,백김치,S블루베리(50g),S떠먹는요구르트(100ml),방울토마토새우볶음밥,실파장국,미니돈까스,empty,비트초절이,S무지개떡,S수제바나나우유,밤콩밥,만두국,낙지채소볶음,얼갈이나물,깍두기
132,찹쌀현미밥,두부곤약탕국,모듬버섯전,단배추멸치조림,깍두기,S과일샐러드,empty,일본식소고기덮밥(규동),크림스프,감자튀김,양상추딸기샐러드,열무물김치,empty,S수제블루베리우유,찹쌀팥밥,감자탕,고등어무조림,시금치나물,나박김치
133,찹쌀밥,온도토리묵국,두부채소굴소스볶음,가지나물무침,나박김치,empty,S수제블루베리우유,소고기카레라이스,유부실파국,empty,연근흑임자샐러드,깍두기,S오렌지주스,S모닝빵,옥수수밥,양송이된장국,(저염·저당)찜닭,콩나물무침,열무물김치
134,수수밥,닭고기무국,김구이+양념장,멸치조림,나박김치,S수제블루베리우유,empty,쌀밥,만두국,해물부추전,느타리버섯나물,백김치,empty,S단호박샐러드(마요네즈),밤콩밥,두부전골,소고기청경채볶음,파프리카유자청무침,나박김치
135,밤콩밥,김치두부찌개,참치채소볶음,오이무침,깍두기,empty,S미숫가루,두부카레라이스,실파장국,새우채소전,파프리카유자청무침,비트초절이,empty,S수제바나나우유,율무밥,콩나물육개장,주꾸미간장조림,단배추멸치조림,나박김치
136,흑미밥,조랭이떡미역국,닭고기냉채,가지양념무침,나박김치,S참외샐러드,empty,일본식소고기덮밥(규동),유부실파국,채소크로켓,연근흑임자샐러드,깍두기,empty,S바나나쉐이크,수수밥,모듬버섯찌개,오징어두루치기,애호박건새우볶음,오이소박이김치
137,옥수수밥,두부젓국찌개,달걀찜(30g),브로콜리깨소스무침,백김치,S건포도감자볼,S수제블루베리우유,돼지고기양배추덮밥,유부실파국,씻은김치전,empty,비트초절이,S오렌지(50g),S식혜,찹쌀밥,순두부찌개,(고춧가루제외)갈치조림,고구마순된장무침,나박김치
138,찹쌀밥,으깬두부된장국,달걀찜(40g),연근흑임자샐러드,나박김치,S사과(50g),S떠먹는요구르트(100ml),일본식소고기덮밥(규동),유부대파국,채소크로켓,양배추유자청무침,총각김치,S모닝빵,S우유(100ml),수수밥,맑은육개장,오징어청경채볶음,감자조림,오이소박이김치
139,찹쌀밥,느타리버섯국,두부채소굴소스볶음,브로콜리나물,나박김치,S귤(80g),S떠먹는요구르트(100ml),돼지고기양배추덮밥,달걀파국,깻잎참치전,empty,비트초절이,S건포도감자볼,S수제바나나우유,옥수수밥,만두국,주꾸미채소간장볶음,오이무침,백김치
140,브로콜리채소볶음밥,애호박맑은국,두부참치샐러드(유자청드레싱),느타리버섯나물,나박김치,empty,S우유(150ml),팥밥,만두국,순살닭강정,우엉채곤약조림,깍두기,S요구르트,S치즈스틱,밤찹쌀팥밥,된장찌개,고등어무조림,애호박건새우볶음,단배추물김치
141,쌀밥,미역냉국,짜장떡볶이,고구마순된장무침,깍두기,empty,S수제블루베리우유,크림소스스파게티,empty,순살닭강정,오이토마토샐러드(발사믹드레싱),비트초절이,S감자샐러드,S우유(100ml),찹쌀밥,애호박새우젓국찌개,오삼불고기,팽이버섯부추나물,백김치
142,옥수수밥,맑은미역국,연두부+양념장,콩나물무침,백김치,empty,S우유미숫가루,돼지고기양배추덮밥,실파장국,채소크로켓,양배추샐러드(레몬드레싱),열무김치,S치즈스틱,S오렌지주스(무가당),율무밥,안매운닭개장,메추리알장조림,양념가지찜,나박김치
143,찹쌀밥,두부맑은국,치즈스크램블에그,고구마순된장무침,백김치,empty,S수제바나나우유,일본식소고기덮밥(규동),맑은바지락탕,채소크로켓,사과샐러드(발사믹드레싱),깍두기,S건포도감자볼,S우유(100ml),수수밥,모듬버섯찌개,너비아니채소볶음,오이무침,나박김치
144,수수밥,두부된장국,닭간장조림,애호박나물,나박김치,empty,S우유(200ml),돼지고기양배추덮밥,느타리버섯국,어묵강정,empty,석박지,empty,S오렌지주스(무가당),찹쌀밥,만두국,단호박해물찜,배무생채,단배추물김치
145,밤콩밥,맑은미역국,떡갈비간장조림,고구마순된장무침,나박김치,S오렌지(50g),empty,닭살채소볶음밥,애호박새우젓국,짜장떡볶이,empty,깍두기,S건포도감자볼,S수제딸기우유,율무밥,만두국,주꾸미채소간장볶음,콩자반,콜라비나박김치
146,흑미밥,모듬어묵탕,스크램블에그,돌나물흑임자샐러드,석박지,S수박(100g),empty,콩밥,수제비국,소고기육전,도토리묵무침,백김치,empty,S수제블루베리우유,팥밥,단호박새우젓국,순살간장닭갈비,양배추나물,백김치
147,소고기주먹밥,멸치장국,감자조림,양배추샐러드(참깨드레싱),나박김치,S쌀과자,S우유미숫가루,현미밥,청경채맑은국,소고기안심버섯볶음,파프리카유자청무침,백김치,S모닝빵,S오렌지주스,잡곡밥,김치국,돼지고기장조림,오이나물,콜라비나박김치
148,찹쌀밥,느타리버섯국,게살스크램블에그,브로콜리깨소스무침,나박김치,empty,S우유(150ml),유부불고기덮밥,맑은장국,채소크로켓,참외노각무침,비트초절이,empty,S토마토주스,수수밥,만두국,소고기토마토볶음,우엉채곤약조림,백김치
149,쌀밥,매생이두부국,고등어살카레구이,건새우애호박볶음,백김치,S귤(50g),S떠먹는요구르트(100ml),일본식소고기덮밥(규동),미니우동,콘샐러드(올리브유드레싱),empty,비트초절이,S치즈스틱,S수제블루베리우유,쌀밥,모듬버섯찌개,낙지채소볶음,양배추나물,오이소박이김치
150,찹쌀밥,느타리버섯국,김달걀말이,브로콜리나물,나박김치,S딸기(100g),S식혜,취나물표고영양밥,호박맑은국,주꾸미채소간장볶음,empty,백김치,S우유(200ml),S건포도감자볼,옥수수밥,만두순두부찌개,닭살청경채볶음,콩나물무침,깍두기
151,찹쌀밥(추가),조랭이떡미역국,애호박건새우볶음,우엉채곤약조림,나박김치,S사과(35g),S떠먹는요구르트(100ml),소고기가지덮밥,다시마감자국,채소크로켓,양배추샐러드,깍두기,S우유(100ml),S바나나(50g),고구마밥(40),만두국,가자미무조림,느타리버섯나물,단배추물김치
152,팥밥(30),만두국,건새우애호박볶음,얼갈이나물,백김치,S수제바나나우유,S찐감자,닭살카레감자밥+양념장,유부맑은국,푸실리샐러드,empty,깍두기,S치즈스틱,S토마토주스,밤콩밥,두부탕국,대구살조림,브로콜리초고추장무침,나박김치
153,찹쌀밥,느타리버섯국,삼색달걀찜,검정콩호두조림,나박김치,S백설기,S오렌지주스,일본식소고기덮밥(규동),애호박맑은국,도토리묵채소무침,empty,깍두기,S고구마쉐이크,S연두부샐러드(오리엔탈드레싱),수수밥(30),꼬치어묵국,삼치카레구이,오이사과무침,백김치
154,팥밥(40),닭고기무국,애호박건새우볶음,당근숙주나물,깍두기,S달걀당근죽,S둥글레차,소고기가지덮밥,맑은배추국,도토리묵상추무침,empty,동치미,S수제바나나우유,S치즈스틱,밤콩밥,두부곤약탕국,오징어브로콜리숙회,감자채피망볶음,나박김치
155,찹쌀보리밥(30),무된장국,스크램블에그,감자채볶음,백김치,S동태살죽,empty,치킨마요덮밥,배추당면국,표고버섯탕수,S오렌지(100g),콜라비나박김치,S수제블루베리우유,S참외(100g),옥수수밥,애호박국,돼지갈비찜,오이치커리무침,나박김치
156,찹쌀밥(30),만두국,두부채소굴소스볶음,애호박나물,백김치,S찐감자,S우유(100ml),돼지고기양배추덮밥,느타리버섯국,쫄면채소무침,empty,깍두기,S수제바나나우유,S치즈스틱,옥수수밥(30),닭개장,참치피망볶음,양념가지찜,단배추물김치
157,찹쌀밥(추가),조갯살된장찌개,건새우애호박볶음,당근숙주나물,나박김치,S찐옥수수,S우유(200ml),찹쌀팥밥,만두국,파인애플탕수육+소스,마카로니오이샐러드,비트초절이,S호두우유,S사과(50g),팥밥(30),모듬버섯찌개,안매운오삼불고기,상추쌈,총각김치
158,콩밥(40),감자옹심이국,채소달걀찜,고구마순된장무침,나박김치,S당근두부스넥,S쌀음료,일본식소고기덮밥(규동),느타리버섯국,양상추샐러드,empty,깍두기,S수제바나나우유,S치즈스틱,찹쌀밥,두부전골,닭살찹스테이크,가지양념무침,백김치
159,찹쌀밥(추가),만두국,달걀찜(30g),애호박볶음,나박김치,empty,S우유미숫가루,소고기가지덮밥,배추당면국,춘권튀김,양상추샐러드,깍두기,S오렌지주스,S마카로니채소샐러드,팥밥(30),감자탕,궁중떡볶음,콩나물무침,단배추물김치
160,옥수수밥(30),매생이국,달걀프라이,고구마순된장무침,나박김치,empty,S호두우유,돼지고기양배추덮밥,호박맑은국,두부냉채,empty,깍두기,S단호박식혜,S감자건포도샐러드,찹쌀밥,콩나물국,소갈비찜,파프리카유자청무침,깍두기
161,찹쌀밥(추가),콩가루열무된장국,햄참치채소전,건새우애호박볶음,백김치,S바나나(100g),S토마토주스,일본식소고기덮밥(규동),늙은호박국,모듬버섯전,사과샐러드,오이피클,S수제블루베리우유,S건포도감자볼,율무밥(40),만두국,임연수데리야끼조림,시금치나물,깍두기
162,옥수수밥,부추재첩국,미트볼조림,고구마순된장무침,백김치,S딸기(100g),S우유(200ml),돼지고기양배추덮밥,느타리버섯국,닭봉구이,empty,나박김치,S식혜,S고구마샐러드(마요네즈),찹쌀밥,두부전골,주꾸미채소간장볶음,맛살콩나물무침,백김치
163,밤찹쌀팥밥(40),감자채맑은국,팽이버섯달걀전,브로콜리된장무침,백김치,S당근스프,S사과(35g),돼지고기카레라이스,다시마채국,마카로니채소샐러드(마요네즈),찐만두,깍두기,S삶은달걀(50g),S검은깨두유(200ml),고구마밥,안매운김치국,닭다리살장조림,숙주미나리나물,나박김치
164,쌀밥,북어채무국,온두부+양념장,돌나물유자청무침,배추김치,S딸기(100g),S수제바나나우유,닭살채소볶음밥,실파김국,감자그라탕,empty,깍두기,S치즈스틱,S우유(100ml),찹쌀밥,만두국,주꾸미채소간장볶음,깻잎나물,백김치
165,찹쌀현미밥,애호박새우젓국,으깬두부채소전,배추나물,나박김치,S연두부샐러드(오리엔탈드레싱),S수제블루베리우유,돼지고기양배추덮밥,맑은장국,브로콜리오징어무침,empty,깍두기,S군만두,S식혜,율무밥,맑은꽃게탕,소고기버섯불고기,상추쌈,백김치
166,옥수수밥(40),연두부청경채새우탕,채소스크램블에그,오이나물,백김치,S바나나(100g),S우유(100ml),소고기김주먹밥,느타리버섯국,오징어단무지무침,empty,단배추물김치,S고로케,S우유(200ml),수수밥(40),호박감자수제비국,짜장닭볶음,진미채무침,깍두기
167,수수밥(40),맑은애호박국,메추리알고구마조림,취나물된장무침,깍두기,S배추버섯죽,empty,감자밥,콩나물육개장,순살간장닭갈비,파프리카사과초무침,백김치,S과일샐러드(마요네즈),S우유미숫가루,찹쌀밥,어묵맑은국,장산적조림,얼갈이나물,나박김치
168,수수밥(30),콩비지맑은국,소시지피망볶음,고구마순된장무침,단배추물김치,S브로콜리스프,S오렌지주스(무가당),일본식소고기덮밥(규동),느타리버섯국,오이샐러드,닭꼬치,깍두기,S삶은고구마,S우유(100ml),찹쌀밥,옥수수스프,새우까스,양배추샐러드,비트초절이
169,쌀밥(추가),무국,닭살파프리카볶음,쑥갓두부무침,백김치,S사과(50g),S우유(150ml),소고기가지덮밥,버섯맑은국,곤약김치무침,empty,깍두기,S가래떡구이,S단호박식혜,밤콩밥,건새우맑은국,고등어구이,청경채나물,나박김치
170,밤찹쌀팥밥(40),북어채국,두부구이+양념장,브로콜리된장무침,나박김치,S방울토마토(35g),S우유(200ml),돼지고기카레라이스,실파달걀국,그린샐러드,empty,깍두기,S찐고구마,S수제바나나우유,찹쌀밥,온청포묵국,훈제오리볶음,새송이버섯나물,열무물김치
171,쌀밥(추가),양송이된장국,단호박달걀찜,아욱나물무침,총각김치,S고구마경단,S유자차,찹쌀밥,매생이홍합국,소고기떡찜,브로콜리새우깨무침,비트초절이,S건포도감자볼,S복숭아호두스무디,팥밥(30),버섯샤브샤브,진미채무말랭이무침,돌나물흑임자샐러드,나박김치
172,찹쌀밥(추가),모시조개탕,연두부찜,양배추맛살나물,비트초절이,S팥죽,S유자차,현미찹쌀밥,해물탕,후라이드치킨,치커리유자청무침,나박김치,S단호박전,S우유(200ml),찹쌀밥(30),수제비국,소고기육전(찹쌀가루),무말랭이무침,단배추물김치
173,쌀밥(30),호박맑은국,소고기동그랑땡전,건새우애호박볶음,백김치,S바나나(50g),S식혜,일본식소고기덮밥(규동),느타리버섯국,참치깻잎전,동초무침,깍두기,S찐고구마,S수제딸기우유,밤콩밥,감자양파국,삼겹살김치볶음,배무생채,나박김치
174,율무밥(30),애호박새우젓국찌개,닭가슴살삼색파프리카볶음,팽이버섯나물,나박김치,S잣찹쌀죽,S우유(100ml),소고기채소볶음밥,냉콩나물국,오징어숙회+유자소스,empty,비트초절이,S군만두,S수제블루베리우유,찹쌀팥밥,볼어묵국,임연수데리야끼조림,브로콜리깨소스무침,백김치
175,찹쌀밥,콩나물국,채소달걀말이,봄동나물,나박김치,S백설기,S우유(100ml),카레라이스,콩가루쑥국,닭날개조림,양배추오이무침,깍두기,S딸기(100g),S수제바나나우유,팥밥(30),순두부찌개,조기구이,브로콜리나물,백김치
176,옥수수밥(30),맑은양배추국,가자미살구이,가지나물,나박김치,S건포도감자볼,S우유(200ml),베이컨채소볶음밥,맑은장국,군만두,모듬과일샐러드,깍두기,S온도토리묵국,S오렌지주스,찹쌀밥,동태살국,동그랑땡채소조림,배무생채,나박김치
177,고구마밥(40),대구탕,두부양념조림,애호박나물,백김치,S단감(50g),S우유(200ml),돼지고기카레라이스,맑은장국,채소크로켓,연두부샐러드(오리엔탈드레싱),깍두기,S대추우유스프,S단호박식혜,율무밥,꽃게탕,돼지고기짜장볶음,청경채나물,나박김치
178,수수밥(30),청경채맑은국,달걀말이,숙주나물,백김치,S팥죽,S우유(100ml),소고기주먹밥,단호박수제비국,두부참치샐러드(유자청드레싱),empty,깍두기,S건포도감자볼,S우유미숫가루,잡곡밥(40),다시마새우젓국,소고기모듬장조림,오이소박이,깍두기
179,옥수수밥(30),애호박젓국찌개,미트볼조림,고구마순된장무침,나박김치,S연두부샐러드(오리엔탈드레싱),S요구르트,소고기오므라이스,느타리버섯국,두부참치샐러드(유자청드레싱),empty,깍두기,S알리오올리오스파게티,S우유(150ml),찹쌀밥,오징어맑은국,깻잎달걀말이,무미역무침,백김치
180,찹쌀밥(추가),맑은배추국,임연수살구이,세발나물,깍두기,S딸기(100g),S우유(100ml),돼지고기양배추덮밥,김치두부국,마카로니채소샐러드(마요네즈),empty,비트초절이,S감자건포도샐러드,S수제블루베리우유,팥밥(40),새우살미역국,돼지갈비찜,오이무침,백김치
181,흑미밥(40),두부감자국,메추리알곤약조림,건파래전,나박김치,S머핀,S오렌지주스(무가당),소고기김주먹밥,호박국,오징어브로콜리숙회,empty,깍두기,S연두부샐러드(오리엔탈드레싱),S우유미숫가루,밤콩밥,새우살시금치국,닭다리살피망볶음,양배추쌈,나박김치
182,옥수수밥,어묵국,단배추멸치조림,애호박볶음,깍두기,S곶감,S둥글레차,돼지고기잡채덮밥,맑은장국,양배추샐러드(사우전아일랜드드레싱),empty,비트초절이,S과일샐러드,S우유(200ml),찹쌀밥,안매운육개장,떡갈비피망조림,무말랭이,백김치
183,고구마밥(30),미역국,건새우애호박볶음,느타리버섯나물,콜라비나박김치,S바나나사과키위샐러드,S떠먹는요구르트(100ml),오징어채소덮밥,실파김국,우엉채곤약조림,채소크로켓,깍두기,S연두부샐러드(오리엔탈드레싱),S수제바나나우유,찹쌀팥밥,만두국,닭살표고버섯볶음,브로콜리나물,백김치
184,수수밥(30),만두국,우엉채곤약조림,감자채볶음,오이소박이김치,S밤설기(40g),S우유(100ml),유부불고기덮밥,애호박맑은국,해물부추전,무생채,비트초절이,S감자샐러드,S수제바나나우유,밤콩밥(30),두부전골,오징어숙회,팽이버섯나물,백김치
185,옥수수밥(40),순두부백탕,소고기파인애플볶음,고구마순된장무침,나박김치,empty,S수제바나나우유,참치마요덮밥,미소장국,닭봉구이,양상추유자청샐러드,비트초절이,S찐고구마,S우유(200ml),찹쌀밥,굴두부국,미니돈까스,파프리카유자청무침,깍두기
186,밤콩밥,매생이두부국,삼색채소달걀찜,우엉채곤약조림,깍두기,S팥죽,S쌀음료,돼지고기양배추덮밥,대합국,팽이버섯전,empty,백김치,S과일샐러드,S우유(200ml),율무밥,실파콩나물국,소고기버섯불고기,세발나물,나박김치
187,팥밥(40),맑은애호박국,달걀새송이장조림,느타리버섯나물,단배추물김치,S사과(50g),S고구마쉐이크,닭가슴살파프리카볶음밥,실파김국,채소크로켓,새싹채소샐러드(오리엔탈드레싱),백김치,S당근두부스넥,S우유(200ml),찹쌀밥,맑은오징어무국,훈제오리구이,부추양파생채,백김치
188,찹쌀밥(추가),만두국,애호박건새우볶음,팽이버섯나물,비트초절이,S팥죽,S쌀음료,소불고기덮밥,실파달걀국,(고춧가루제외)도토리묵무침,empty,깍두기,S연두부샐러드(오리엔탈드레싱),S수제바나나우유,수수밥(30),두부탕국,돼지고기떡갈비구이,부추배무침,백김치
189,옥수수밥,근대맑은국,닭가슴살삼색파프리카볶음,느타리버섯나물,석박지,S바나나(50g),S우유(200ml),돼지고기양배추덮밥,곤약어묵국,토마토두부무조림,empty,깍두기,S건포도감자볼,S우유(200ml),찹쌀밥,콩나물국,(고춧가루제외)갈치조림,애호박볶음,나박김치
190,밤콩밥(30),쑥된장국,삼치조림,(고춧가루제외)부추사과무침,백김치,S단호박설기,S수제블루베리우유,치킨마요덮밥,실파달걀국,과일샐러드,empty,깍두기,S오렌지(50g),S바나나쉐이크,찹쌀밥(추가),김치두부국,꼬막찜,봄동나물,나박김치
191,수수밥(40),느타리버섯국,깻잎달걀말이,애호박건새우볶음,백김치,S팥죽,S우유(100ml),브로콜리채소볶음밥,두부전골,우엉채곤약조림,파프리카유자청무침,나박김치,S건포도감자볼,S수제바나나우유,밤콩밥,콩나물육개장,고등어살카레구이,단배추나물,깍두기
192,옥수수밥,무된장국,두부채소굴소스볶음,숙주나물김무침,총각김치,S쌀과자,S우유(150ml),돼지고기양배추덮밥,김치맑은국,오징어브로콜리숙회,empty,깍두기,S귤(80g),S우유미숫가루,찹쌀밥,청국장찌개,완자전,가지나물,백김치
193,밤콩밥(30),애호박새우젓국,팽이버섯달걀전,고구마순된장무침,나박김치,S과일샐러드,S우유(200ml),표고버섯콩나물밥,두부전골,찐만두,파프리카유자청무침,배추김치,S알리오올리오스파게티,S오렌지주스,율무밥,무채국,순살가자미찜,고춧잎된장무침,백김치
194,찹쌀밥,맑은애호박국,닭감자조림,참나물볶음,백김치,empty,S우유미숫가루,달걀버섯볶음밥,애호박맑은국,코다리엿장조림,코울슬로,깍두기,S멜론(50g),S단호박식혜,현미밥,참치미역국,동그랑땡전,아욱나물무침,나박김치
195,수수밥(30),순두부찌개,우엉채곤약조림,건새우애호박볶음,깍두기,S단호박죽,S쌀음료,불고기채소비빔밥,달걀파국,표고버섯탕수,파프리카쌈장무침,비트초절이,S연두부샐러드(오리엔탈드레싱),S수제블루베리우유,밤콩밥,모듬버섯찌개,임연수카레구이,깻잎새콤무침,나박김치
196,쌀밥(추가),느타리버섯맑은국,닭살청경채볶음,가지양념찜,나박김치,S고구마맛탕,S오렌지주스(무가당),찹쌀밥,두부전골,주꾸미채소간장볶음,양배추유자청무침,깍두기,S사과(50g),S우유(200ml),검정콩밥,조갯살맑은국,떡갈비간장조림,시금치나물,백김치
197,팥밥(40),만두국,건새우애호박볶음,느타리버섯무침,배추김치,S달걀죽,S쌀음료,두부카레라이스,아욱된장국,오징어링튀김,empty,깍두기,S연두부샐러드(오리엔탈드레싱),S수제블루베리우유,율무밥,닭개장,삼치유자청구이,가지나물무침,백김치
198,밤밥,다시마감자국,크래미채소볶음,모듬버섯전,나박김치,empty,S바나나쉐이크,방울토마토새우볶음밥,무채양파국,채소비빔소면,춘권튀김,깍두기,S찐옥수수,S우유미숫가루,완두콩밥,감자수제비국,순살간장닭갈비,양배추유자청무침,나박김치
199,옥수수밥,감자호박국,주꾸미채소간장볶음,느타리버섯나물,단배추물김치,S우유(100ml),S바나나(50g),돼지고기양배추덮밥,무채국,아욱건새우전,오이토마토샐러드(발사믹드레싱),나박김치,S치즈스틱,S오렌지주스,찹쌀밥,두부전골,돼지사태찜,도토리묵상추무침,백김치
200,팥밥(30),소고기무국,우엉채곤약조림,고구마줄기볶음,총각김치,S약과,S오렌지주스,백김치볶음밥,맑은장국,미니돈까스,돌나물유자청무침,깍두기,S감자샐러드,S우유(200ml),율무밥,동태살국,돼지고기부추잡채,새송이버섯나물,나박김치
