name,ingredient,weight,category,note
,"당근, 뿌리, 생것",5,,
,"양파, 생것",5,,
,콩기름,1,,
,소금,0.2,,
,"후추, 검은후추, 가루 ",0.1,,
S토마토두부샐러드,"토마토, 생것",15,샐러드(간식),한식
,"간장, 개량, 양조",2,,
,"설탕, 백설탕",2,,
,"식초, 양조",2,,
,올리브유,2,,
,두부,20,,
,"양상추, 생것",5,,
,"파프리카, 노란색, 생것",5,,
,"파프리카, 빨간색, 생것",5,,
S파프리카스틱,"파프리카, 빨간색, 생것",40,샐러드(간식),양식
S푸실리샐러드,"파스타, 마카로니, 말린것",15,샐러드(간식),양식
,"파프리카, 노란색, 생것",5,,
,"파프리카, 빨간색, 생것",5,,
,"토마토, 방울토마토, 생것",5,,
,"토마토 소스, 케첩",5,,
,"양파, 생것",5,,
S고구마쉐이크,우유,140,우유(간식),양식
,"고구마, 분질(밤) 고구마, 찐것",50,,
S떠먹는요구르트(100ml),"요구르트, 호상, 플레인",100,우유(간식),양식
S바나나쉐이크,"바나나, 생것",100,우유(간식),양식
,우유,150,,
S복숭아호두스무디,"복숭아, 백도, 생것",80,우유(간식),양식
,우유,100,,
,"호두, 말린것",5,,
S블루베리바나나쉐이크,"블루베리, 생것",60,우유(간식),양식
,"바나나, 생것",60,,
,"호두, 말린것",10,,
,우유,100,,
S수제딸기우유,우유,200,우유(간식),양식
,"딸기, 개량종, 생것",50,,
S수제바나나우유,우유,100,우유(간식),양식
,"바나나, 생것",50,,
S수제블루베리바나나우유,"블루베리, 생것",30,우유(간식),양식
,"바나나, 생것",10,,
,우유,150,,
S수제블루베리우유,우유,200,우유(간식),양식
,"블루베리, 생것",75,,
S요구르트,"요구르트, 액상",80,우유(간식),양식
S우유(100ml),우유,100,우유(간식),양식
S우유(150ml),우유,150,우유(간식),양식
S우유(200ml),우유,200,우유(간식),양식
S우유미숫가루,"보리, 미숫가루",15,우유(간식),한식
,우유,150,,
,"설탕, 백설탕",2.5,,
S토마토쉐이크,"토마토, 생것",110,우유(간식),양식
,"요구르트, 액상",50,,
,"마, 단마, 생것",3,,
,"설탕, 백설탕",5,,
S호두두부쉐이크,"호두, 말린것",5,우유(간식),한식
