,Category,Energy,Protein,Fat,Carbohydrate,Total Dietary,Calcium,Iron,Sodium,Vitamin A (Retinol),Vitamin A (BetaCarotene),Vitamin B1 (Thiamine),Vitamin B2 (Rivoflavin),Vitamin C,Linoleic Acid,Alpha-Linolenic Acid
"멥쌀, 중국산, 백미, 생것",곡류및그제품,361,6.7,0.4,78.9,0,1,1.6,2,0,0,0.14,0.04,0,0,0
"멥쌀, 추청벼, 백미, 생것",곡류및그제품,373,6.7,0.6,81.4,5.7,8,0.4,3,0,2,0.45,0.02,0,0,0
"멥쌀, 추청벼, 현미, 생것",곡류및그제품,362,6.4,2.7,76.9,0,12,1.1,14,0,0,0.3,0.04,0,0,0
"멥쌀, 큰눈벼, 백미, 생것",곡류및그제품,375,6.3,1,81.4,0,3,1.1,19,0,0,0.11,0.03,0,0,0
"멥쌀, 큰눈벼, 현미, 생것",곡류및그제품,371,7.3,3,77.9,0,3,1.5,23,0,0,0.27,0.06,0,0,0
"멥쌀, 태국산, 백미, 생것",곡류및그제품,366,7,0.2,80.1,0,1,1.6,2,0,0,0.07,0.03,0,0,0
"멥쌀, 통일벼, 백미, 생것",곡류및그제품,375,8.3,0.6,80.3,0,11,1.2,3,0,0,0.22,0.03,0,0,0
"멥쌀, 통일벼, 현미, 생것",곡류및그제품,362,8.9,1.6,77.2,0,2,3.5,2,0,0,0.33,0.21,0,0,0
"멥쌀, 하이아미, 백미, 생것",곡류및그제품,367,5.5,0.9,80.3,0,9,2.9,9,0,0,0.51,0.03,0,0,0
"멥쌀, 향미벼, 백미, 생것",곡류및그제품,368,7,0.6,79.9,0,5,1,4,0,0,0.34,0.04,0,0,0
"멥쌀, 호주산, 백미, 생것",곡류및그제품,371,6.4,0.3,81.7,0,1,1.5,2,0,0,0.1,0.02,0,0,0
"멥쌀, 흑미벼, 현미, 생것",곡류및그제품,356,7.59,2.31,75.31,7.6,19,0.85,4,0,50,0.607,0.254,0,892.3,38.23
"멥쌀, 흑진주벼, 현미, 생것",곡류및그제품,369,7.9,2.6,77.7,7.4,23,2.5,2,0,51,1.01,0.16,0,0,0
"멥쌀, 히토메보레, 백미, 생것",곡류및그제품,364,6.5,0.3,80,4.6,7,0.5,3,0,1,0.33,0.01,0,0,0
"멥쌀, 골든퀸3호, 백미, 생것",곡류및그제품,354,6.07,0.67,77.27,0.9,4,0.25,3,0,0,0.069,0.028,0,253.43,8.87
"멥쌀, 골든퀸3호, 현미, 생것",곡류및그제품,356,6.16,2.01,77.24,3.9,9,0.91,1,0,4,0.295,0.067,0,746.42,29.54
"멥쌀, 호품벼, 백미, 생것",곡류및그제품,354,5.91,0.73,77.2,0.8,4,0.18,0,0,0,0.071,0.027,0,287.87,11.04
"멥쌀, 호품벼, 현미, 생것",곡류및그제품,343,6.3,1.94,73.89,3.5,10,0.82,1,0,4,0.264,0.071,0,754.72,31.44
멥쌀 과자,곡류및그제품,469,3.2,15.9,78.2,0,4,0.9,224,0,0,0.13,0.05,0,0,0
