,Energy,Protein,Fat,Carbohydrate,Total Dietary,Calcium,Iron,Sodium,Vitamin A,Vitamin B1 (Thiamine),Vitamin B2 (Rivoflavin),Vitamin C,Linoleic Acid,Alpha-Linolenic Acid
S(우유제외)새우크림소스볶음,90.777,6.972099999999999,5.302299999999999,3.3118,0.113,28.511,1.0422,304.651,6.869333333500001,0.020989999999999998,0.049879999999999994,13.0561,208.6148,25.3005
S새우튀김,82.657,6.732,3.6423000000000005,4.8775,0.20700000000000002,26.261,0.5773999999999999,85.433,6.811,0.017419999999999998,0.04371,1.5341999999999998,2173.5251999999996,13.897299999999998
S소고기볶음밥,138.53600000000003,4.14955,3.55048,21.460829999999998,0.34950000000000003,6.457,0.6637,58.48799999999999,24.556166668294,0.06562,0.05777999999999999,1.2399,817.41875,6.94424
S소고기주먹밥,151.857,3.9674999999999994,5.3384,20.7746,0.383,6.311,0.6592,178.851,39.15100000259001,0.062299999999999994,0.04298,1.4291999999999998,1567.6646999999998,16.911
S소고기파프리카볶음밥,137.48600000000002,4.15635,3.55838,21.194929999999996,0.15250000000000002,5.197,0.7632999999999999,57.517999999999994,5.0428333337939995,0.06619,0.06622000000000001,20.8009,815.6957500000001,8.798039999999999
S수제감자피자,121.92699999999999,6.167299999999999,5.6202000000000005,11.859200000000001,1.905,109.421,0.5492,223.647,9.752666666349999,0.07368000000000001,0.10464,12.741100000000003,1623.4501,33.376799999999996
S수제비,202.46,6.6667000000000005,0.6313,40.3661,1.9050000000000002,53.83,0.6945,45.47,24.34750000165,0.09326000000000001,0.02468,1.4566999999999999,280.4884,20.513
S시금치견과류주먹밥,126.32799999999999,2.7318100000000003,3.1948000000000003,21.136639999999996,0.3656000000000001,14.776999999999997,0.70489,108.37299999999999,24.08408333659,0.071201,0.06731700000000002,6.0,1383.97211,7.4507900000000005
S시금치스프레드식빵피자,177.547,7.9443,7.039000000000001,20.6824,1.5550000000000002,112.50100000000002,0.7330000000000002,392.477,43.4743333384,0.09956999999999999,0.21824000000000005,22.587100000000003,1796.6499000000001,48.8285
S쌀국수,161.35,6.413,3.3275,26.546,0.51,14.299999999999999,0.702,696.7499999999999,1.9000000001,0.16235,0.07045,2.1755000000000004,45.345000000000006,4.184
S쑥채소전,97.27000000000001,3.4605,2.9426,13.920899999999998,1.597,21.459999999999997,1.1855,82.654,80.39666666569,0.05029000000000001,0.10712999999999999,1.3496000000000001,1597.9442,34.1935
S안매운김치볶음밥,108.14,1.6326,3.1113999999999997,17.638700000000004,0.467,11.829999999999998,0.4077000000000001,26.369999999999997,27.214166668630003,0.06269000000000001,0.021079999999999998,1.5701999999999998,1812.0901,16.444300000000002
S(우유제외)알리오올리오스파게티,150.47,3.90195,4.0804,24.566149999999997,1.0935,21.045,0.715,20.160000000000004,5.8441666665000005,0.025899999999999996,0.040909999999999995,1.3093,422.19565000000006,56.154
S알리오올리오스파게티,141.59,4.460349999999999,3.0167,24.241349999999994,1.0935,37.105,0.7248,41.58,6.50499999934,0.026419999999999996,0.04757,1.3093,397.91535,48.583200000000005
S양념꼬치어묵,42.902,3.0548,0.8127500000000001,5.9346000000000005,0.28800000000000003,50.84599999999999,0.36685000000000006,313.1,6.6260000002,0.005575,0.024420000000000004,0.42615000000000003,324.40885000000003,37.2261
S양배추치즈전,117.028,5.3291,4.147,14.4983,1.32,67.86,0.5681999999999999,261.06500000000005,23.00416666645,0.04192,0.25167,2.9385,1669.1721,34.76129999999999
S어묵잡채,77.028,1.9472600000000002,2.7441900000000006,11.498410000000002,0.7151000000000002,18.920999999999992,0.7155900000000001,218.20000000000007,38.458916670117,0.020325000000000003,0.092162,6.352399999999999,1706.69755,33.60395
S어묵탕,34.332,3.12385,0.8054,3.7392000000000003,0.211,56.33599999999999,0.42675,314.809,14.28516666665,0.008685000000000002,0.020960000000000003,1.2537999999999998,313.6776,40.77
S연근강정,90.46300000000001,1.02963,3.06382,14.400150000000002,1.0433000000000001,8.818,0.24382,85.782,1.1499999999000001,0.027708000000000003,0.05330599999999999,7.377160000000001,2116.3815299999997,13.486699999999999
S연근어묵,46.652,3.1363,0.81625,6.798600000000001,0.453,52.245999999999995,0.40685000000000004,314.15,6.6260000002,0.009925000000000002,0.030620000000000005,1.84365,326.10535000000004,37.527100000000004
S연근전,88.6,1.7959999999999998,2.1596,14.784199999999998,1.0350000000000001,10.479999999999999,0.2492,189.31400000000002,0.0,0.029699999999999997,0.1571,5.6715,1476.4401,13.528799999999999
S연근튀김,97.65,1.4089999999999998,3.1319,15.217799999999997,0.99,16.4,0.29619999999999996,135.63,0.0,0.036599999999999994,0.0341,5.67,2155.0688999999998,16.004199999999997
S연두부,43.4,2.94,1.96,3.29,0.0,26.6,0.84,3.5,0.0,0.098,0.014000000000000002,0.0,0.0,0.0
S영양주먹밥,112.30000000000001,1.9356000000000002,3.6237500000000002,17.817950000000003,0.762,7.72,0.47095,4.4350000000000005,38.61833333594,0.06770000000000001,0.051620000000000006,2.6193,1886.1154499999998,21.633450000000003
S오이비빔국수,117.82500000000002,3.4227599999999994,0.62931,23.36493,0.7411000000000001,8.887999999999998,0.30834999999999996,478.5659999999999,9.552083333977,0.036505,0.06406,0.9499,305.65125000000006,12.647349999999998
S(우유제외)옥수수버터구이,87.42,3.3059999999999996,2.8723,13.0618,0.0,11.1,1.15,9.38,4.5574999999,0.04,0.035300000000000005,0.0,123.25650000000002,14.300999999999998
S옥수수버터구이,88.83,3.3177,3.1612,12.754299999999999,0.0,10.98,1.1508999999999998,0.8,17.467500000999998,0.04,0.03638,0.0,45.6897,5.25
S옥수수빵,192.6,4.44,6.12,29.46,1.44,45.0,1.164,477.0,21.6,0.1494,0.16560000000000002,0.06,0.0,0.0
S옥수수전,129.8,4.184,3.2426000000000004,20.489199999999997,0.375,16.38,0.9292,198.514,14.8999999999,0.0951,0.2122,0.0015,1579.1031,14.744799999999998
S온도토리묵국,68.52,1.7809500000000003,1.8339999999999999,11.17465,0.018500000000000003,56.044999999999995,0.8584999999999999,155.03000000000003,11.282083333615,0.027115,0.04683,1.4306500000000002,625.53395,8.40985
S온도토리묵밥,69.22,1.8419500000000002,1.835,11.32715,0.053500000000000006,56.945,0.8684999999999999,155.18,11.536250000265,0.027214999999999996,0.04853,1.9931500000000002,625.94345,8.750350000000001
S온메밀국수,94.93700000000001,2.98981,0.43249999999999994,19.579700000000003,0.716,20.127999999999997,0.33221,289.188,2.5226666667,0.012847999999999998,0.05944,1.10376,181.45066,17.6577
S완자전,80.72,5.1888,4.01,5.4829,0.6050000000000001,12.58,0.549,51.987,33.4825000017,0.10676000000000002,0.06753,1.1595,1804.7114,38.538799999999995
S우동,107.906,3.68799,2.24066,17.44685,1.0479,45.03,0.5662600000000001,195.394,9.221500000005,0.05093400000000001,0.059038,0.8305800000000001,230.20289000000002,12.707
S우엉주먹밥,115.673,2.23966,1.2195300000000002,23.10234,0.9876,11.818999999999999,0.49818999999999997,86.347,37.11175000256701,0.06403600000000001,0.045022,0.9193199999999999,747.46811,6.155469999999999
S우엉채소볶음밥,126.91299999999998,2.2786600000000004,2.22503,23.61834,1.0885999999999998,12.618999999999998,0.5250900000000001,86.787,36.88425000261701,0.067136,0.045002,1.04722,1442.9959099999999,9.457669999999998
S(우유제외)웨지감자구이,82.6,1.4169999999999998,3.6484999999999994,11.158999999999999,1.89,7.38,0.40639999999999993,82.694,4.6791666665000005,0.042,0.0194,7.356999999999999,211.4965,25.123
S웨지감자구이,84.94999999999999,1.4364999999999999,4.13,10.6465,1.89,7.18,0.40789999999999993,68.394,26.195833334999996,0.042,0.0212,7.356999999999999,82.2185,10.038
S유부초밥,192.10000000000002,4.9805,8.6675,22.377750000000002,0.40950000000000003,62.015000000000015,1.1500499999999994,234.89000000000001,12.445416667425002,0.06855499999999999,0.04425,1.1841999999999997,1921.0401499999998,19.269350000000003
S잔치국수,110.13999999999999,3.74665,1.41843,19.67523,0.7396999999999999,38.135999999999996,0.5229599999999999,442.39700000000005,31.092833334837998,0.04039,0.04408,0.9896600000000001,867.99722,15.146809999999997
S주꾸미미나리볶음밥,132.062,4.283650000000001,1.7371499999999997,23.896600000000003,0.6375000000000001,12.681,0.7307499999999999,99.901,29.51433333495,0.07397000000000001,0.0957,1.1719,1056.3073,11.271049999999999
S주먹밥,104.90100000000001,2.03467,1.25672,20.39808,0.0902,5.376999999999999,0.42825,31.833000000000002,10.073833333620001,0.062333,0.03298,0.42152,439.26322,5.990340000000001
S짜장떡볶이,128.985,3.6789500000000004,6.0779999999999985,14.8976,0.9530000000000001,10.245000000000001,0.4994500000000001,120.70500000000001,26.954166668350002,0.018585000000000004,0.08676999999999999,2.888,1514.2793,17.045699999999997
S짜장면,150.957,6.834500000000001,3.6068,21.7055,1.2129999999999999,14.441,0.4548000000000001,400.37599999999986,1.5484999999999998,0.09599,0.051579999999999994,1.2086,1685.0575,23.043699999999998
S찐감자,64.0,1.6879999999999997,0.072,14.536000000000001,1.28,8.0,0.384,1.6,0.6,0.028000000000000004,0.0128,9.568000000000001,35.792,8.536
S찐고구마,169.0,1.07,0.15,40.92,4.2,17.0,0.42,7.0,3.083333333,0.06,0.025,15.36,70.89,10.22
S찐고구마(80g),135.2,0.8560000000000001,0.12,32.736000000000004,3.36,13.6,0.336,5.6,2.4666666664,0.048,0.02,12.288,56.711999999999996,8.176
S찐만두,104.0,4.69,3.29,13.895,2.9,32.5,1.55,130.5,5.208333335,0.22400000000000003,0.0355,0.0,536.86,35.75
S찐밤,45.3,0.9839999999999999,0.15,10.017000000000001,1.62,4.8,0.252,0.3,0.7250000001,0.0246,0.019500000000000003,4.7940000000000005,65.667,18.21
S찐빵,127.8,3.576,0.774,26.616,3.06,13.2,0.558,94.8,0.25000000019999996,0.009,0.026999999999999996,0.0,211.56600000000003,29.837999999999997
S찐옥수수,66.0,3.3,0.7,12.7,0.0,10.5,1.15,0.5,1.75,0.04,0.035,0.0,0.0,0.0
S참나물유부초밥,161.9,3.7180000000000004,6.200799999999999,21.6281,0.17100000000000004,34.81,0.874,173.275,17.95666666759,0.06380000000000001,0.01918,0.2049,1531.2849,16.083900000000003
