,Energy,Protein,Fat,Carbohydrate,Total Dietary,Calcium,Iron,Sodium,Vitamin A,Vitamin B1 (Thiamine),Vitamin B2 (Rivoflavin),Vitamin C,Linoleic Acid,Alpha-Linolenic Acid
"참깨, 흰깨, 볶은것",557,25.96,45.11,21.83,14.1,854,6.39,2,1.083333333,0.345,2.932,0,18131.05,171.51
"참깨 과자, 엿강정",538,15,32.9,45.4,0,520,4.6,81,0.25,0.36,0.12,0,0,0
참깨죽,38,1,1.2,5.9,0,17,1.3,120,0,0.02,0.02,0,0,0
"치아씨, 말린것",486,16.54,30.74,42.12,34.4,631,7.72,16,0,0.62,0.17,1.6,5835,17830
"캐슈넛, 조미한 것 ",576,19.8,47.6,26.7,6.7,38,4.8,220,0,0.54,0.18,0,8000,76
"코코넛, 말린것",660,6.88,64.53,23.65,16.3,26,3.32,37,0,0.06,0.1,1.5,0,0
"코코넛, 볶은것",592,5.3,47,44.4,0,27,3.39,37,0,0.061,0.102,1.5,0,0
"코코넛, 코코넛밀크",230,2.29,23.84,5.54,2.2,16,1.64,15,0,0.026,0,2.8,0,0
"코코넛수, 과즙",19,0.72,0.2,3.71,1.1,24,0.29,105,0,0.03,0.057,2.4,0,0
"피스타치오넛, 말린것",560,20.16,45.32,27.17,10.6,105,3.92,1,25.41666667,0.87,0.16,5.6,14091,0
"피스타치오넛, 볶은것",584,25.99,48.89,20.82,10,101,3.79,4,14.41666667,0.411,0.417,0,15105.77,794.35
"피스타치오넛, 조미, 볶은것",580,24.2,49,21.2,0,120,5.8,390,12,0.51,0.18,0,0,0
"피칸, 말린것",691,9.17,71.97,13.86,9.6,70,2.53,0,2.416666667,0.66,0.13,1.1,0,0
"피칸, 조미, 볶은것",710,9.5,74.27,13.55,9.4,72,2.8,383,7,0.45,0.107,0.7,0,0
"해바라기씨, 말린것",607,22.33,56.12,14.7,8.1,94,5.12,2,0.833333333,1.156,0.287,0,33937.32,47.39
"해바라기씨, 볶은것",611,20.1,56.3,17.2,6.9,81,3.6,250,0.75,1.72,0.25,0,28000,90
"해바라기씨, 조미, 볶은것",600,19.5,54.8,18.1,0,85,4.9,72,1.25,1.81,0.19,0,0,0
"호두, 말린것",688,15.47,71.99,7.92,6.7,81,2.49,3,2.166666667,0.047,0.282,0,41449.7,11461.39
"호두, 볶은것",671,16,68.4,10.5,0,79,3.3,47,1.916666667,0.19,0.29,0,0,0
"호박씨, 말린것",548,35.35,48.18,5.34,4.9,38,8.62,6,2.25,0.088,0.183,0,23936.61,110.37
"호박씨, 일본산, 조미, 볶은것",574,26.5,51.8,12,7.3,44,6.5,47,0,0.21,0,0,21000,120
"가시오갈피, 순, 생것",76,5.67,0.7,15.87,8.8,211,3.43,1,810.6666667,0.213,0.615,100.73,232.2,212.73
"가시오갈피, 순, 데친것",63,5.25,0.85,11.99,11.1,184,2.2,1,467.75,0.276,0.386,62.05,213.64,388.89
"가죽나물, 생것",50,5.33,0.41,9.46,4.9,137,2.5,5,99.33333333,0.563,0.532,2.52,113.64,171.55
"가죽나물, 말린것",287,22.4,6.3,50.2,42.8,1051,12.8,0,2139.833333,0.82,1.67,0,0,0
"가죽나물, 데친것",49,4.78,0.51,9.25,5.9,131,1.63,3,209.9166667,0.062,0.239,1.77,127.35,240.06
"가지, 생것",19,1.13,0.03,4.36,2.7,16,0.26,0,4.333333333,0.035,0.163,0,0,0
"가지, 말린것",290,14.53,2.4,65.59,29.4,235,3.47,13,42.58333333,0.125,0.772,0,853.34,299
"가지, 데친것",19,1,0.1,4.4,3.4,17,0.32,1,10.41666667,0.018,0.086,0,42.12,22.18
"가지, 염절임",23,1.4,0.1,5.2,2.7,18,0.6,880,3.666666667,0.03,0.04,7,4,1
"갓, 생것",36,3.5,0.2,7.3,0,193,2.7,33,98.58333333,0.24,0.16,135,0,0
"갓, 돌산갓, 생것",24,2.66,0.28,4.22,2.5,156,1.52,5,102.8333333,0,0.101,91,34.16,115.27
"강남조나물, 말린것",223,25.8,0.4,43.8,0,518,2.7,0,16.16666667,0.07,0.05,4,0,0
"갬추, 말린것",286,17.7,2,63.2,0,92,2.2,0,16.91666667,0.02,0.04,1,0,0
"갯기름나물, 노지, 생것",41,3.94,0.32,7.95,5.1,200,1.47,3,154.9166667,0.051,0.477,19.45,116.92,66.74
"갯기름나물, 노지, 데친것",44,3.62,0.57,8.54,6.4,187,0.88,2,179.4166667,0.032,0.279,19.45,155.79,221.57
"갯기름나물, 노지, 어린것, 생것",53,4.17,0.52,10.91,7.1,181,1.26,2,126.8333333,0.056,0.67,38.08,189.33,105.24
"갯기름나물, 노지, 어린것, 데친것",53,4.11,0.8,10.17,7.4,179,1.07,3,183.9166667,0,0.333,38.08,215.14,313.3
"갯기름나물, 하우스, 생것",50,3.12,0.44,10.75,6.2,226,0.77,9,113.3333333,0.078,0.284,57.74,164.92,76.37
"갯기름나물, 하우스, 데친것",51,3.41,0.79,10.24,7.1,228,0.8,7,214.0833333,0,0.278,57.74,195.69,314.78
"갯기름나물, 하우스, 어린것, 생것",44,3.59,0.36,9.12,6.4,259,0.99,4,173.8333333,0.074,0.606,58.63,137.73,68.62
"갯기름나물, 하우스, 어린것, 데친것",47,4.28,0.69,8.64,5.4,243,0.82,4,218.25,0.03,0.274,58.63,180.58,281.16
"게걸무, 생것",59,2.3,0.1,13.6,0,42,1.3,18,0,0.13,0.01,16,0,0
"게걸무, 잎, 생것",23,2.7,0.2,4.2,0,106,10.7,24,405,0.11,0.34,25,0,0
"겨자, 적겨자, 생것",24,3.03,0.17,4.19,2.6,256,3.09,36,292.9166667,0.277,0.277,0,27.57,71.46
"고구마, 잎, 생것",47,3.92,0.44,7.34,5.8,196,5.64,0,571.1666667,0.227,0.297,8.31,43.83,234.66
"고구마, 잎, 데친것",41,3.44,0.62,5.8,5.4,186,3.38,1,474.8333333,0,0.227,0,55.71,403.52
"고구마, 줄기, 생것",18,0.76,0.02,3.63,2.2,92,0.41,1,3.25,0.023,0.016,1.7,3.94,0
"고구마, 줄기, 말린것",332,6.07,0.47,75.53,34.1,1166,7.11,12,0,0.197,1.084,0,12.32,6.93
"고구마, 줄기, 삶아서 말린것, 삶은것",23,0.48,0.11,4.96,4.5,125,0.45,3,9.25,0,0.01,0,38.64,21.68
"고구마, 줄기, 삶은것",14,0.45,0.05,2.88,1.8,65,0.26,1,8.5,0.057,0.011,0,16.8,9.54
"고구마, 줄기, 데친것",17,0.59,0.05,3.64,2.2,89,0.31,1,8.916666667,0.006,0.016,0,17.66,10.46
"고구마, 줄기(껍질 포함), 생것",23,0.88,0.03,4.96,3.5,132,0.33,1,11.91666667,0.072,0.022,0.62,6.03,3.99
"고구마, 줄기(껍질 포함), 삶아서 말린것, 삶은것",33,0.52,0.06,7.51,7.4,206,0.52,6,0,0,0.03,0.16,1.8,0
"고구마, 줄기(껍질 포함), 데친것",22,0.74,0.06,4.65,3.1,126,0.4,2,25.25,0.057,0.023,0.02,21.52,14.5
"고들빼기, 생것",29,1.6,0.5,5.8,0,82,10.8,34,11.5,0.09,0.09,7,0,0
"고들빼기, 이고들빼기, 생것",39,2.5,0.4,8.2,3.3,128,4.8,57,5.666666667,0.13,0.17,15,0,0
"고려엉겅퀴(곤드레), 야생, 말린것",275,20.5,3.9,53.9,0,88,2.7,0,18.83333333,0.03,0.07,1,0,0
"고려엉겅퀴(곤드레), 재배, 말린것",310,5.6,2.8,76.4,0,51,2,0,21.83333333,0.04,0.09,2,0,0
"고려엉겅퀴(곤드레), 재래종, 잎, 생것",32,3.47,1.38,3.29,0,269,2.04,0,289.9166667,0.396,0.171,11.96,72.59,94.24
"고비, 야생, 생것",28,1.72,0.13,6.41,3.7,15,0.71,1,29.66666667,0,0.023,6.41,21.06,17.57
"고비, 야생, 말린것, 삶은것",31,1.68,0.26,6.84,4,36,0.75,4,3.083333333,0,0.193,0,39.02,52.63
"고비, 야생, 삶아서 말린것",299,17.95,1.7,67.51,36.2,226,7.18,28,369,0,1.369,0,304.95,396.54
"고비, 야생, 삶은것",25,1.58,0.16,5.43,3.5,16,0.29,2,45.58333333,0,0.048,1.96,28.23,37.7
"고비, 재배, 생것",28,2.1,0.1,6.2,0,14,3.7,6,71.58333333,0.03,0.11,33,0,0
"고사리, 생것",22,2.9,0.17,3.8,3.4,9,0.88,0,24.91666667,0.011,0.137,2.58,41.27,11.15
"고사리, 말린것",261,25.8,0.6,54.2,0,188,6.4,15,16.16666667,0.11,0.51,0,0,0
"고사리, 삶아서 말린것",273,27.85,0.34,56.58,42,147,6.75,24,366.6666667,0.054,0.776,5.56,646.83,390.02
"고사리, 데친것",21,2.74,0.24,3.55,2.7,15,0.48,2,40.41666667,0.004,0.097,8.38,55.35,31.65
"고수(향채), 생것",33,4.6,0.2,5.6,0,46,21.4,5,0,0.03,0.21,2,0,0
"고추, 풋고추, 생것",29,1.71,0.19,6.42,4.4,15,0.5,1,38.16666667,0.008,0.076,43.95,108.28,15.36
"고추, 싹, 생것",21,2.6,0.1,3.8,0,39,8.5,0,6.833333333,0.04,0.24,8,0,0
"고추, 빨간색, 생것",85,3.12,2.73,15.34,10.2,14,0.75,1,294.75,0.39,0.383,122.74,1612,129.89
"고추, 빨간색, 말린것",312,13.88,8.71,57.47,35.8,57,3.97,4,1161.666667,0.129,2.465,0,4729.99,638.69
"고추, 꽈리고추, 생것",33,1.83,0.13,7.78,3.2,15,0.6,2,39.5,0.07,0.094,56.7,63.46,11.83
"고추, 녹광, 빨간색, 생것",41,2.3,1.3,6.9,0,12,1,11,0,0,0,170,0,0
"고추, 시레나, 연두색, 생것",19,1,0.1,4.4,0,5,0.4,3,0.5,0.06,0.02,40,0,0
"고추, 녹광, 초록색, 생것",27,1.4,0.8,4.6,0,14,0.9,9,0,0,0,72,0,0
"고추, 수비초, 빨간색, 생것",77,3.7,1.8,14.8,0,17,0.9,2,0,0.32,0.66,142,0,0
"고추, 시레나, 초록색, 생것",23,1.1,0.1,5.4,0,4,0.5,3,12,0.05,0.03,47,0,0
"고추, 오이고추, 생것",23,0.99,0.12,5.51,2.7,11,0.39,1,32.83333333,0.137,0.038,78.01,60.11,13.52
"고추, 재래종, 풋고추, 생것",26,1.2,0.2,6,5.6,13,0.4,0,1.666666667,0.2,0.04,0,0,0
"고추, 청양고추, 생것",31,1.53,0.3,7.01,4.7,10,0.51,1,38,0.042,0.055,51.35,192.3,17.7
"고춧잎, 생것",45,5.07,0.32,8.49,2.8,369,4.35,4,433.5833333,0.123,0.322,24.03,64.85,72.86
"고춧잎, 말린것",266,35.43,5.3,37.8,33.7,1495,31.61,25,2116.75,0.929,4.885,13.89,998.97,2622.89
"고춧잎, 삶아서 말린것, 삶은것",41,4.41,0.76,6.66,6.5,590,2,4,632.75,0.029,0.097,6.06,144.16,362.41
"고춧잎, 데친것",51,5.16,0.85,8.9,6.9,457,1.85,2,557.8333333,0.257,0.301,8.21,150.76,438.54
고추장아찌,124,2.39,0.63,31.49,4.8,16,1.1,2026,24.25,0.195,0.024,11.8,404.62,46.48
"고추냉이, 뿌리, 생것",103,2.9,0.5,23.7,0,41,0.6,1,1.333333333,0.01,0.18,19,0,0
"고추냉이, 잎, 생것",36,3.7,0.5,6.3,0,73,4,0,9.5,0.25,0.26,100,0,0
"고추냉이, 줄기, 생것",24,0.9,0.2,5.6,0,18,1,0,1.5,0.09,0.04,53,0,0
"곤달비, 생것",42,1.8,0.5,9.4,0,197,6.2,2,358.3333333,0.1,0.26,44,0,0
"곤달비, 데친것",35,1.8,0.5,7.4,0,207,5,2,297.5833333,0.08,0.17,13,0,0
"곰취, 생것",32,3.04,0.49,5.77,4.1,135,1.6,2,319.5,0.006,0.334,7.97,78.48,297.93
"곰취, 데친것",35,3.28,0.64,6.09,3.7,133,1.02,1,226.3333333,0.044,0.346,11.63,93.93,409.53
"곰취, 야생, 말린것",307,5.1,4.9,71.1,0,45,2.1,0,41.66666667,0.3,0.08,5,0,0
"곰취, 재배, 말린것",306,8,4.7,69.2,0,42,1.5,0,45.91666667,0.26,0.12,7,0,0
"공심채, 생것",17,2.2,0.1,3.1,3.1,74,1.5,26,358.3333333,0.1,0.2,19,0,0
"공심채, 데친것",21,2.2,0.1,4.1,3.4,90,1,16,316.6666667,0.06,0.1,6,0,0
"꾸지뽕, 잎, 생것",85,5.06,0.51,19.18,13.5,595,1.74,7,416.9166667,0.083,0.752,29.3,95.15,245.41
"꾸지뽕, 잎, 말린것",282,18.25,1.4,63.3,32.3,1574,11.5,4,894.5,0.772,1.997,164.19,258.46,654.11
"꾸지뽕, 잎, 삶은것",61,3.93,0.51,13.15,7.2,415,1.74,1,288.25,0.055,0.263,54.87,80.54,290.28
"구기자, 순, 재래종, 생것",50,6.27,1.08,7.05,5.1,10,1.58,2,93.08333333,0.077,0.274,15.82,101.62,156.36
"구기자, 잎, 재래종, 생것",56,6.33,1.57,7.77,5.4,572,2.32,8,404.4166667,0.127,0.399,10.22,101.51,371.24
"국화꽃, 생것",27,1.4,0,6.5,3.4,22,0.7,2,5.583333333,0.1,0.11,11,0,0
"국화꽃, 말린것",292,11.6,0.2,73.5,29.6,160,11,14,15,0.73,0.89,10,0,0
"국화꽃, 데친것",23,1,0,5.7,2.9,16,0.5,1,5.083333333,0.06,0.07,5,0,0
"근대, 생것",18,1.78,0.2,3.28,2.7,49,0.53,173,253.8333333,0.094,0.108,4.8,35.8,86.13
"근대, 데친것",20,1.79,0.2,3.95,2.6,61,0.46,138,290,0,0.064,0,32.55,106.04
"김치, 갓 김치",37,3.26,0.4,7.07,3,103,0.83,720,101.0833333,0.108,0.34,1.65,176.62,75.87
"김치, 고들빼기",88,4.1,2.7,11.9,0,115,4.1,2231,0,0.31,0.15,11,0,0
"김치, 깍두기",38,1.43,0.19,7.54,4.3,41,0.33,501,16.08333333,0.049,0.063,0.82,99.92,18.77
"김치, 나박 김치",7,0.34,0.07,1.27,1.2,12,0.1,421,15.08333333,0.045,0.03,3.5,30.57,15.08
"김치, 동치미",8,0.33,0.01,1.77,0.5,10,0.07,533,1.333333333,0.02,0.013,2.32,3.57,2.02
"김치, 배추 김치",25,1.4,0.2,4.4,0,64,0.8,232,23.41666667,0.09,0.06,7,0,0
"김치, 배추 김치, 봄 재배 ",39,2.22,0.67,5.95,3.6,53,0.56,626,48.08333333,0.032,0.167,4.04,336.69,51.83
"김치, 배추 김치, 여름 재배",38,1.84,0.49,6.56,4.6,51,0.45,606,25,0.043,0.079,3.64,262.21,24.96
"김치, 배추 김치, 가을 재배",37,1.85,0.54,6.1,4.6,50,0.51,548,15.08333333,0.08,0.071,3.15,277.9,38.85
"김치, 백김치",16,0.95,0.07,3,1.9,35,0.24,395,2,0.016,0.04,15.98,17.86,16.53
"김치, 열무 김치",32,2.4,0.29,4.99,3.2,134,0.68,510,73.16666667,0.028,0.177,1.6,111.95,66.99
"김치, 열무 물김치",18,1.41,0.07,2.91,0.5,32,0.21,493,31.5,0.028,0.041,3.88,34.59,7.34
"김치, 오이 소박이",37,1.76,0.37,6.66,3.1,29,0.57,302,56.08333333,0.077,0.099,0.89,198.67,37.93
"김치, 유채 김치",62,3.5,0.8,10.1,0,67,0,926,222.1666667,0.2,0.23,56,0,0
"김치, 유채 물김치",17,1,0.1,3,0,37,0,452,2.833333333,0.08,0.04,19,0,0
"김치, 총각 김치",41,2.02,0.2,7.89,3.1,42,0.67,692,22.16666667,0.013,0.076,1.65,78.82,37.91
"김치, 파 김치",49,2.5,0.58,8.51,4.6,60,0.73,655,107.4166667,0.051,0.114,2.22,319.22,68.57
"김치, 얼갈이배추 김치",30,1.88,0.58,4.37,3.3,125,0.39,581,114.6666667,0.016,0.039,5.36,257.27,71.2
"꼬깔나물, 말린것",285,24.3,4.7,52.2,0,84,2.1,0,18.08333333,0.03,0.07,1,0,0
"꽃양배추, 생것",22,1.9,0.1,4.7,0,12,0.6,28,1,0.07,0.09,99,0,0
"꽃양배추, 데친것",20,1.4,0.1,4.5,0,12,0.4,22,0.5,0.04,0.07,82,0,0
"꿀풀(하고초), 생것",48,1.6,0.2,11.9,0,160,21.3,3,1725.166667,0.1,0.19,5,0,0
"꿀풀(하고초), 말린것",309,8.2,4,71.6,0,996,20.9,10,971.8333333,0.47,0.76,5,0,0
"날개콩, 미숙, 생것",36,1.9,0.2,6.5,0,40,1.4,0,10.5,0.06,0.11,17,0,0
"냉이, 생것",41,4.23,0.27,8.06,5.3,193,13.24,5,78.25,0.07,0.318,24.29,43.96,112.12
"냉이, 데친것",49,5.09,0.5,9.19,8.1,192,9.74,4,137.9166667,0,0.322,35.8,67.7,265.7
"넘취, 생것",35,1.9,0.3,7.9,0,174,4.5,2,254.3333333,0.04,0.64,33,0,0
"넘취, 데친것",29,1.6,0.2,6.6,0,166,1.8,3,181.6666667,0.03,0.28,12,0,0
"녹색완두, 미숙, 생것",93,6.9,0.4,15.3,7.7,23,1.7,1,34.16666667,0.39,0.16,19,69,12
"녹색완두, 미숙, 데친것",110,8.3,0.2,18.5,8.6,32,2.2,3,35.83333333,0.29,0.14,16,35,6
"녹색완두, 미숙, 통조림",98,3.6,0.4,19.7,6.9,33,1.8,330,16.66666667,0.04,0.04,0,110,20
"누룩치, 말린것",280,12.9,1.2,66.9,0,538,9.4,41,7.916666667,0.35,1.29,30,0,0
"누룩치, 삶아서 말린것",290,15.3,1.4,67.4,0,629,7.3,54,7.25,0.3,0.65,55,0,0
"누룩치, 잎, 생것",72,2.3,0.5,17.3,0,341,3.7,2,197.5,0.08,0.42,73,0,0
"누룩치, 잎, 데친것",38,1.4,0.4,8.8,0,258,2.1,2,181,0.03,0.12,10,0,0
"누룩치, 줄기, 생것",31,0.2,0.2,8.1,0,172,1.8,1,0,0.03,0.09,21,0,0
"누룩치, 줄기, 데친것",25,0.2,0.1,6.6,0,179,0.2,4,0,0.02,0.05,13,0,0
"누리장나무잎, 생것",65,4.5,1,12.7,0,0,0,0,0,0,0,0,0,0
"는쟁이냉이, 생것",28,2.5,0.3,5.4,0,47,3.9,0,58.08333333,0.04,0.12,19,0,0
"달래, 생것",28,1.9,0.22,6.1,2.9,62,3.51,7,96.83333333,0.064,0.09,0,67.53,63.71
"당귀, 일당귀, 뿌리, 생것",70,0.6,1.2,15.3,0,39,3.1,76,0,0.16,0.15,11,0,0
"당귀, 일당귀, 잎, 생것",43,3.2,0.4,8.8,0,80,17.8,3,17.58333333,0.2,0.16,43,0,0
"당귀, 참당귀, 잎, 생것",39,2.6,0.7,7.4,0,54,15,3,20.58333333,0.18,0.24,25,0,0
"당근, 뿌리, 생것",31,1.02,0.13,7.03,3.1,24,0.28,23,459.6666667,0.037,0.062,3.02,83.02,7.9
"당근, 뿌리, 데친것",31,0.97,0.13,7.01,2.6,25,0.24,16,298.5,0.025,0.052,0,85.44,8.69
"당근 주스, 캔",40,0.95,0.15,9.28,0.8,24,0.46,66,775.25,0.092,0.055,8.5,0,0
당근 주스,38,0.44,0.09,10.03,2.1,11,0.09,42,604.25,0,0.035,5.64,67.99,0
"더덕, 뿌리, 생것",89,1.91,0.13,21.52,8.1,29,0.93,1,0.25,0.036,0.171,5.31,66.45,16.98
"더덕, 뿌리, 가루",339,11.19,0.77,78.4,35.7,261,25.88,6,0.75,0.337,0.363,16.73,448.54,81.61
"도라지, 뿌리, 생것",56,1.7,0.11,13.08,4.2,40,0.32,3,0.5,0.007,0.065,5.06,64.03,5.38
"도라지, 뿌리, 말린것",324,10.67,0.89,74.59,26.8,246,2.11,22,3.5,0.12,0.736,0,498.84,50.38
"도라지, 뿌리, 가루",339,12.53,1.12,76.64,31.9,299,5.41,29,2.416666667,0.04,0.844,11.36,617.04,74.67
"도라지, 뿌리, 데친것",49,1.48,0.14,11.35,2.6,43,0.36,4,0.75,0.034,0.082,3.73,80.38,9.39
"돌나물, 생것",15,1.19,0.08,3.23,1,190,0.77,0,90.33333333,0.298,0.075,107.99,20.23,25.53
"동아, 생것",12,1.1,0.1,2.4,0,11,1.4,11,0,0.07,0.01,9,0,0
"동아, 데친것",16,0.6,0.1,3.7,1.5,22,0.3,1,0,0.01,0.01,27,44,0
"두릅, 생것",33,4.13,0.22,5.89,2.3,48,1.68,1,185.1666667,0.263,0.358,23.74,80.91,57.11
"두릅, 데친것",32,3.49,0.28,5.81,3,67,1.27,2,197.9166667,0.025,0.126,2.52,101.93,77.48
"두릅, 잎, 생것",46,6.69,0.46,7.32,5.3,40,2.34,2,118.9166667,0.079,0.443,6.11,184.09,101.85
"두릅, 잎, 데친것",41,5.53,0.51,6.44,5,40,1.34,2,105.3333333,0.013,0.345,6.97,195.23,147.49
"두릅, 줄기, 생것",33,3.56,0.24,6.12,4.2,44,0.79,1,30.58333333,0.021,0.293,2.31,117.23,29.79
"두릅, 줄기, 데친것",28,2.81,0.28,5.24,4.1,33,0.45,1,31.16666667,0.01,0.251,0.55,137.42,52.9
"두릅, 땅두릅, 생것",25,2.4,0.22,4.79,4.4,80,8,2,44.5,0.01,0.261,9.83,99,31.81
"두릅, 땅두릅, 데친것",24,2.3,0.25,4.56,3.4,73,1.57,2,54.91666667,0.029,0.147,3.98,114.14,46.6
"두릅, 땅두릅, 잎, 생것",43,4.3,0.3,8.5,0,140,1.9,22,5,0.25,0.46,47,0,0
"두릅, 땅두릅, 잎, 데친것",61,6.3,0.8,10.8,0,221,2.5,27,11.75,0.22,0.35,14,0,0
"두릅, 땅두릅, 줄기, 생것",17,1.6,0.2,3.1,0,36,1.1,29,0.333333333,0.16,0.31,4,0,0
"두릅, 땅두릅, 줄기, 데친것",16,1.5,0.1,3.3,0,55,0.8,3,0.583333333,0.11,0.12,4,0,0
"둥글레, 잎, 생것",52,3.4,0.2,11.7,0,58,8.9,9,9.166666667,0.11,0.05,2,0,0
"둥글레, 잎, 말린것",289,16.5,0.9,67.7,0,572,59.9,7,0.833333333,0.46,1.41,32,0,0
"들깨, 싹, 생것",17,1.7,0.1,2.5,0,29,7.8,0,3.916666667,0.04,0.19,7,0,0
"들깻잎, 생것",47,4.46,0.5,8.89,5.7,296,1.91,1,630.4166667,0.329,0.508,2.73,69.51,245.03
"들깻잎, 데친것",32,3.93,0.6,4.8,3.9,226,1.39,1,586.6666667,0.045,0.161,0.13,61.57,381.3
"들깻잎, 찐것",37,4.37,0.55,6.07,4.7,265,2.42,1,600.5833333,0.138,0.421,1.05,53.79,343.56
"들깻잎장아찌, 통조림",76,4.7,1.7,10.4,0,166,4,1679,364.75,0.09,0.15,0,0,0
들깻잎장아찌,124,4.03,0.42,26,4.4,178,2.34,1809,347.25,0.099,0.221,12.74,42.32,267.51
"로카, 생것",17,2.6,0.2,2.5,0,80,3.2,92,8.333333333,0.1,0.2,23,0,0
"루꼴라, 생것",25,2.58,0.66,3.65,1.6,160,1.46,27,118.6666667,0.044,0.086,15,0,0
"리크, 생것",54,1.8,0.3,13.2,0,20,0.1,4,23.08333333,0.05,0.05,41,0,0
"리크, 데친것",28,1.3,0.1,6.8,2.6,26,0.6,2,3.083333333,0.05,0.07,9,23,33
"마늘, 구근, 생것",123,7.03,0.12,26.65,3.3,8,0.82,2,0,0.118,0.276,11.86,58.23,0
"마늘, 구근, 말린것",333,16.3,0.7,73.3,0,18,6.5,7,0,0.52,0.63,39,0,0
"마늘, 구근, 냉동",126,7.38,0.07,27.29,3,7,0.99,1,0,0.128,0.665,11.86,23.02,0.88
"마늘, 구근, 동결건조",330,15.3,0.5,73.7,0,13,1.6,5,0,0.48,0.24,32,0,0
"마늘, 구근, 데친것",133,7.84,0.13,28.59,2.2,8,0.85,1,0,0.13,0.602,11.86,70.03,3.29
"마늘, 구근, 구운것",141,8.29,0.17,30.39,2.2,8,1.56,2,0,0.123,0.612,14.03,93.75,4.3
"마늘, 난지형, 구근, 생것",148,8.6,0,32.2,0,9,1.6,2,0,0.28,0.12,7,0,0
"마늘, 난지형, 구근, 데친것",47,3.3,0,9.9,0,3,0.9,1,0,0.08,0.02,5,0,0
"마늘, 중국산, 구근, 생것",106,5.9,0.1,23.2,0,7,0.8,18,0,0.21,0.1,23,0,0
"마늘, 한지형, 구근, 생것",124,7.88,0.19,26.22,4.4,16,0.73,5,0,0.172,0.046,5.04,93.65,0
"마늘, 한지형, 구근, 데친것",127,8.25,0.14,26.77,3.5,17,0.67,5,0.166666667,0.166,0.047,4.38,82.49,0
"마늘, 한지형, 구근, 구운것",184,11.8,0.27,38.82,4.3,24,1.03,7,0.416666667,0.183,0.063,4.69,160.29,0
"마늘, 한지형, 구근, 볶은것",159,9.84,1.35,31.31,4.1,20,0.92,6,0.25,0.21,0.08,4.07,736.5,62.22
"풋마늘, 잎줄기, 생것",29,1.9,0.17,7.33,3.7,63,0.55,2,89.5,0.096,0.089,11.81,39.36,41.78
"풋마늘, 잎줄기, 데친것",30,1.82,0.29,7.28,3.4,72,0.36,2,91.5,0.02,0.119,9.66,79.43,97.83
"마늘종, 꽃줄기, 생것",45,1.86,0.06,13.39,4.6,49,0.51,1,35.5,0.009,0.065,44.37,6.7,3.56
"마늘종, 꽃줄기, 데친것",50,1.98,0.17,14.82,4.2,51,0.49,2,76.58333333,0.087,0.066,38.08,64.31,46.73
마늘종 장아찌,118,1.96,0.14,27.34,5.2,21,0.61,1410,11.25,0.026,0.023,0,58.72,24.5
마늘 장아찌,113,2.43,0.16,25.36,2.9,7,0.37,1127,0,0.043,0.025,0,85.96,6.29
"마타리, 생것",45,2.1,0.1,10.9,0,8,0.2,0,328.5,0.02,0.28,11,0,0
"머위, 생것",17,2.31,0.14,2.74,2.7,103,1.05,2,242,0.01,0.084,2.46,28.66,78.99
"머위, 말린것",281,17.4,3.7,58.2,0,1104,59.3,48,15.91666667,0.39,3.17,6,0,0
"머위, 삶아서 말린것",278,26.73,4.67,48.62,39.1,1253,14.43,46,2716.666667,0.413,1.072,0.61,890.04,2633.96
"머위, 삶은것",28,2.44,0.44,5.2,4.5,121,0.99,5,306.5,0,0.099,5.32,84.99,253.4
"머위, 데친것",25,2.17,0.41,4.42,4.2,105,0.86,2,235.6666667,0,0.109,6.56,81.68,233.33
"메밀, 싹, 생것",24,1.9,1.2,1.9,3.6,11,0.9,4,1509.833333,0.29,0.15,1,0,0
"모링가(드럼스틱), 생것",66,4.21,1.38,12.43,6.4,313,2.46,6,148.1666667,0.242,0.32,216.76,65.24,239.42
"모시풀, 잎, 생것",64,6.61,0.71,11.85,5.3,877,2.31,3,781.9166667,0.041,0.749,47.67,137.88,323.25
"모시풀, 잎, 삶은것",49,6.09,1.02,7.24,6.3,651,1.66,2,656.9166667,0.025,0.261,2.1,159.13,593.91
"모시풀, 잎, 서방종, 생것",51,4.4,1.36,8.13,5.7,895,2.46,1,261.3333333,0.197,0.21,2.39,67.32,90.39
"무, 왜무, 생것",21,1.1,0.1,4.5,0,27,0.4,14,0,0.02,0.03,22,0,0
"무, 조선무, 생것",15,0.63,0.09,3.36,0.6,23,0.18,6,0.333333333,0.059,0.021,7.34,24.66,9.81
"무순, 싹, 생것",22,2.2,0.3,3.9,2.3,44,1.4,15,0,0.28,0.14,2,0,0
"무청, 왜무 잎, 생것",22,2.3,0.7,2.9,0,329,7.3,38,417.0833333,0.07,0.26,62,0,0
"무청, 조선무 잎, 생것",31,2.9,0.2,6.1,0,341,11.5,154,13.83333333,0.21,0.17,72,0,0
"무시래기, 잎, 말린것, 삶은것",23,1.58,0.27,4.68,4.3,108,1.46,91,148.9166667,0.082,0.046,0,21.09,146.62
무 절임,22,0.44,0.21,4.89,1.4,14,0.29,219,0,0,0.01,100.35,4.46,8.34
"단무지, 염절임",12,0.36,0.05,2.42,2.1,21,0.16,637,0,0.013,0.015,18.42,6.64,13.18
무국물,1,0,0,0.3,0.6,3,0.3,3,0,0.01,0,0,0,0
