,Energy,Protein,Fat,Carbohydrate,Total Dietary,Calcium,Iron,Sodium,Vitamin A,Vitamin B1 (Thiamine),Vitamin B2 (Rivoflavin),Vitamin C,Linoleic Acid,Alpha-Linolenic Acid
"치즈, 까망베르",300,19.8,24.26,0.46,0,388,0.33,842,241,0.028,0.488,0,0,0
"치즈, 고다",356,24.94,27.44,2.22,0,700,0.24,819,164.8333333,0.03,0.334,0,0,0
"치즈, 브릭",371,23.24,29.68,2.79,0,674,0.43,560,292.3333333,0.014,0.351,0,0,0
"치즈, 리코타",162,7.1,11.5,6.7,0,340,0.1,160,160,0.04,0.21,0,0,0
"커피크리머, 가루",514,1.57,29.11,62.2,0,339,0.2,21,0,0,0.016,0,3.07,0
"커피크리머, 액상, 식물성지방",248,4.3,24.8,1.8,0,21,0.1,160,1,0,0.03,0,470,140
"커피크리머, 액상, 유지방",211,5.2,18.3,5.5,0,30,0.1,150,150,0.01,0.05,0,500,76
"크림, 유지방 45%",433,2,45,3.1,0,60,0.1,27,389.1666667,0.02,0.09,0,1000,150
"크림, 유지방 38%",380,2,39.2,3.1,0,64,0.4,21,270.1666667,0.13,0.11,0,0,0
"크림, 경휘핑",292,2.17,30.91,2.96,0,69,0.03,34,279,0.024,0.125,0.6,0,0
"크림, 중휘핑",340,2.84,36.08,2.74,0,66,0.1,27,411,0.02,0.188,0.6,874,122
"크림, 하프앤하프",123,3.13,10.39,4.73,0,107,0.05,61,96.83333333,0.03,0.194,0.9,314,40
"크림, 휘핑",399,2,40.7,4.7,0,39,0.5,62,35.33333333,0.04,0.12,1,0,0
고추기름,919,0.02,99.8,0,0,13,0.05,0,127.75,0,0.003,0,50718.29,6748.64
닭기름,900,0,99.8,0,0,0,0,0,0,0,0,0,0,0
돼지기름,941,0,100,0,0,0,0,0,0,0,0,0,8900,460
들기름,920,0,99.86,0,0,75,5.38,12,4.916666667,0,0.062,0,13080.83,62029.11
땅콩 버터,658,25.8,51.91,18.9,6,57,1.85,370,0,0.011,0.567,0,13641.47,30.59
"땅콩 버터, 청크",589,24.06,49.94,21.57,8,45,1.9,486,0,0.106,0.111,0,0,0
"땅콩 버터, 크림",598,22.21,51.36,22.31,5,49,1.74,426,0,0.15,0.192,0,12215,27
땅콩기름,884,0,100,0,0,0,0.03,0,0,0,0,0,0,0
마가린,714,0.2,72.41,12.06,0,20,0,296,93.58333333,0,0.01,0,4108.55,476.7
면실유,921,0,100,0,0,0,0,0,0,0,0,0,54000,340
버터,761,0.59,82.04,1.81,0,16,0.03,10,523.9166667,0,0.046,0,1522.99,175
복숭아씨기름,911,0.5,98.9,0.3,0,6,1,13,0,0,0,0,0,0
쇠기름,940,0.2,99.8,0,0,0,0.1,1,85,0,0,0,3300,170
쇼트닝,941,0,100,0,0,0,0,0,0,0,0,0,0,0
쌀겨기름(미강유),921,0,100,0,0,0,0,0,0,0,0,0,0,0
아마씨유,884,0.11,99.98,0,0,1,0,0,0,0,0,0,14246,53368
아몬드유,884,0,100,0,0,0,0,0,0,0,0,0,0,0
아보카도유,884,0,100,0,0,0,0,0,0,0,0,0,0,0
양기름,902,0,100,0,0,0,0,0,0,0,0,0,0,0
연어기름,902,0,100,0,0,0,0,0,0,0,0,0,0,0
옥수수기름,919,0,99.74,0.17,0,0,0.57,25,0,0,0,0,51635.59,1037.33
올리브유,921,0,100,0,0,0,0,7,5.916666667,0,0,0,8187.36,711.21
유채씨기름,920,0.02,99.85,0.1,0,1,0.17,1,0,0,0,0,19750.24,11320.51
잇꽃씨기름,921,0,100,0,0,0,0,0,0,0,0,0,13000,210
"지방, 오리",882,0,99.8,0,0,0,0,0,0,0,0,0,0,0
참기름,917,0,99.59,0.14,0,43,1.75,16,0.916666667,0,0.07,0,41621.25,534.07
코코넛유,921,0,100,0,0,0,0,0,0,0,0,0,1500,0
콩기름,915,0,99.31,0.66,0,0,0,0,0,0,0,0,50726.8,6557.68
팜유,921,0,100,0,0,0,0,0,0,0,0,0,9000,190
포도씨유,920,0,99.93,0.01,0,0,0.09,1,0,0,0,0,69454.53,356.59
해바라기유,921,0,100,0,0,0,0,5,0,0,0,0,60334.03,617.28
호두유,884,0,100,0,0,0,0,0,0,0,0,0,0,0
혼합식물성유,921,0,100,0,0,0,0,0,0,0,0,0,34000,6800
"감잎차, 가루 ",335,12.2,2.8,67.5,0,740,22.6,0,0,0.45,0.6,10,0,0
"결명자차, 말린것",391,19.8,4.9,67,0,372,4.8,5,0,0,0.57,0,0,0
"계피차, 가루 ",357,0,1.4,89,0,0,2.3,5,0,1.49,0.37,0,0,0
"구기자차, 말린것",384,14.6,10.7,57.2,0,49,14.7,162,0,0.82,0.34,11,0,0
"구절초차, 말린것",345,11.1,1.3,72.1,0,843,3.4,46,5.75,0.85,0.81,0,0,0
"국화차, 말린것",358,14.5,2.3,69.9,0,753,10.3,54,20.83333333,0.86,0.99,0,0,0
"녹차, 가루",379,22.37,2.47,66.91,40.4,717,8.42,23,631.5833333,0.929,2.18,0,387.78,1211.05
"녹차, 인동녹차, 말린것",329,16.8,1,63.3,0,421,12.2,26,1098,1.3,3.23,67,0,0
"녹차, 잎, 말린것",388,26.66,2.73,64.17,35.4,340,8.97,10,1139.333333,1.675,1.666,0,516.32,1195.04
"녹차, 장군차, 말린것",361,28,1,59.9,0,403,9.5,9,1605.333333,0.49,2.39,53,0,0
"녹차, 추출",2,0.05,0,0.4,0,1,0.01,0,0,0.023,0.017,1.61,0,0
