,Category,Energy,Protein,Fat,Carbohydrate,Total Dietary,Calcium,Iron,Sodium,Vitamin A,Vitamin B1 (Thiamine),Vitamin B2 (Rivoflavin),Vitamin C,Linoleic Acid,Alpha-Linolenic Acid
"Adzuki bean(Vigna angularis), Dark gray, Dried",Beans,350,21.9,1,63.3,0,116,5.1,1,0,0.44,0.1,0,0,0
"Adzuki bean, Paste",Beans,155,9.8,0.6,27.1,6.8,25,2.8,3,0,0.02,0.05,0,100,46
"Hazelnut, Dried",Seeds and nuts,659,19.8,58.5,13.4,0,312,3.7,0,0,0.07,0.22,0,0,0
"Hazelnut, Roasted and salted",Seeds and nuts,684,13.6,69.3,13.9,7.4,130,3,35,0,0.26,0.28,0,5200,68
"Acorn, Raw",Seeds and nuts,230,4.4,3,46.7,0,16,0.6,0,1.083333333,0.01,0.06,9,0,0
Acorn Powder,Seeds and nuts,354,1.1,1.1,83.7,0,60,3.3,2,0,0.02,0.03,0,0,0
"Acorn, Konara oak(Quercus serrata Thunb.), Powder",Seeds and nuts,342,4.6,0.5,79.2,0,61,2.1,54,0,0.25,0.2,0,0,0
"Acorn, Blue Japanese oak(Quercus glauca Thunb.), Powder",Seeds and nuts,348,3.3,1.6,79.5,0,76,1.7,3,0,0.14,0.95,0,0,0
"Noodle, Acorn starch, Dry noodle",Seeds and nuts,343,12.4,0.7,72.2,0,86,2.3,517,0,0.87,0,0,0,0
"Acorn, Muk(Starch jelly)",Seeds and nuts,44,0.2,0.2,10.2,0,6,0.4,55,0,0.01,0.02,0,0,0
"Perilla seed, Dried",Seeds and nuts,530,22.68,39.74,29.26,22,391,7.74,1,2.75,0.353,0.759,0,5172.72,24752.47
"Perilla seed, Roasted",Seeds and nuts,532,23.59,36.23,35.53,22,416,7.5,5,2.416666667,0.528,0.311,0,4399.95,23799.88
"Peanut(Arachis hypogaea), Dried",Seeds and nuts,520,25.74,42.57,18.36,13.4,67,3.07,5,0.333333333,0.389,0.212,0,15766.69,30.66
"Peanut(Arachis hypogaea), Flour",Seeds and nuts,560,28.43,43.11,24.62,12.1,48,2.04,4,0,0.765,0.34,0,14325.43,43.95
"Peanut(Arachis hypogaea), Boiled, With Salt",Seeds and nuts,318,13.5,22.01,21.26,8.8,55,1.01,751,0,0.259,0.063,0,0,0
"Peanut(Arachis hypogaea), Roasted",Seeds and nuts,567,28.5,46.24,19.91,10.5,67,2.01,4,0.416666667,0.085,0.207,0,17144.29,30.54
"Peanut(Arachis hypogaea), Seasoned, Deep-Fried",Seeds and nuts,558,26.59,43.52,25,10.1,43,1.47,129,0,0.069,0.328,0,14124.2,36.48
"Peanut, Seasoned, Roasted",Seeds and nuts,598,18.6,50.4,27.5,0,16,1.8,210,0,0.17,0.26,0,0,0
"Peanut(Arachis hypogaea), Black peanut, Dried",Seeds and nuts,574,19.3,47.7,26.5,0,75,0.7,6,0.333333333,1.83,0.36,1,0,0
"Peanut(Arachis hypogaea), Large seed, Dried",Seeds and nuts,571,26.1,49.1,17.1,0,78,2.1,16,0,0.8,0.13,0,0,0
"Peanut(Arachis hypogaea), Small seed, Dried",Seeds and nuts,564,22.4,46.3,24.2,0,43,3.2,3,0,1.54,0.12,0,0,0
"Peanut(Arachis hypogaea), Medium seed, Dried",Seeds and nuts,549,20.3,43,29.1,0,24,2.8,2,0,2.04,0.07,0,0,0
"Ttaejuk(Japanese styrax), Dried",Seeds and nuts,551,13.6,44.7,31.8,0,9,1.6,0,0.583333333,0.16,0.06,0,0,0
"Mountain Ash(Sorbus commixta Hedl.), Fruits, Raw",Seeds and nuts,115,1.3,0.8,25.5,0,2,0.1,0,0,0.02,0.01,2,0,0
"Water chestnut(Trapa natans L.), Raw",Seeds and nuts,190,5.8,0.5,40.6,2.9,45,1.1,5,0,0.42,0.08,12,140,18
"Macadamia nut, Seasoned, Oil-roasted",Seeds and nuts,720,8.3,76.7,12.2,6.2,47,1.3,190,0,0.21,0.09,0,1500,85
"Wild grape(Vitis vulpina L.) seed, Raw",Seeds and nuts,282,6.3,4.8,54,0,301,3.7,3,5.583333333,0.08,0.09,8,0,0
"Cotton seed, Roasted",Seeds and nuts,506,32.59,36.29,21.9,5.5,100,5.4,25,0,0.75,0.255,9,0,0
"Chestnut, Raw",Seeds and nuts,151,3.28,0.5,33.39,5.4,16,0.84,1,2.416666667,0.082,0.065,15.98,218.89,60.7
"Chestnut, Dried",Seeds and nuts,377,6.7,4.1,78.6,0,52,3.3,7,0,0.32,0.38,0,0,0
"Chestnut, Boiled",Seeds and nuts,154,3.45,0.51,33.95,5.6,18,0.92,0,1.666666667,0.232,0.09,15.98,222.03,68.06
"Chestnut, Canned",Seeds and nuts,225,1.1,0,55.2,0,6,0.2,27,0,0.02,0.06,1,0,0
"Chestnut, Dantaek, Raw",Seeds and nuts,150,2.7,0.1,34.3,4.6,13,1.2,1,0.25,0.92,0.07,17,0,0
"Chestnut, Dantaek, Boiled",Seeds and nuts,150,3.2,0.2,33.6,0,10,1.6,1,0,0.46,0.17,29,0,0
"Chestnut, Dantaek, Roasted",Seeds and nuts,187,3.8,0.1,42.5,7.8,19,1.4,1,1.583333333,0.9,0.1,14,0,0
"Chestnut, Daebo, Raw",Seeds and nuts,146,2.9,0.1,33.3,3.8,14,1.1,1,1.666666667,0.83,0.06,9,0,0
"Chestnut, Daebo, Boiled",Seeds and nuts,155,3,0.1,35.2,5.6,15,1,1,1.083333333,0.29,0.06,61,0,0
"Chestnut, Daebo, Roasted",Seeds and nuts,181,3.6,0.1,41.2,6,19,1.2,1,1.25,0.93,0.08,24,0,0
"Chestnut, Okkwang, Raw",Seeds and nuts,147,2.9,0.1,33.5,5.2,13,0.9,1,1.25,0.91,0.06,2,0,0
"Chestnut, Okkwang, Boiled",Seeds and nuts,154,3.1,0.1,35,0,12,1.5,1,0,0.38,0.13,30,0,0
"Chestnut, Ipyeong, Raw",Seeds and nuts,157,3.5,0.1,35.4,4.8,15,1,2,1.083333333,0.73,0.08,3,0,0
"Chestnut, Ipyeong, Boiled",Seeds and nuts,155,3.7,0.2,34.4,0,12,1.9,1,0,0.3,0.16,29,0,0
"Chestnut, Chukpa, Raw",Seeds and nuts,141,2.8,0.1,32.1,4.2,16,1.1,1,1.5,0.52,0.05,0,0,0
"Chestnut, Chukpa, Boiled",Seeds and nuts,138,2.5,0.1,31.6,5.2,15,0.9,1,1.5,0.36,0.07,0,0,0
"Chestnut, Chukpa, Roasted",Seeds and nuts,185,3.5,0.1,42.2,6.3,20,1.4,1,1.5,0.62,0.09,10,0,0
"Chestnut, Samjosaeng, Roasted",Seeds and nuts,206,4.65,0.68,45.36,7.5,17,1.12,2,4.083333333,0.238,0.119,0,320.99,83.27
"Cherrysilverberries(Elaegnus multiflora), Dried",Seeds and nuts,354,18.5,1.3,68.5,0,3,0.5,0,2.25,0.07,0.07,0,0,0
"Brazilnut, Dried",Seeds and nuts,659,14.32,67.1,11.74,7.5,160,2.43,3,0,0.617,0.035,0.7,23859,18
"Brazilnuts, Roasted",Seeds and nuts,669,14.9,69.1,9.6,7.2,200,2.6,78,0,0.88,0.26,0,29000,61
"Hemp seed, Dried",Seeds and nuts,463,29.5,27.9,31.3,22.7,130,13.1,2,0,0.35,0.19,0,15000,4600
"Watermelon seed, Dried",Seeds and nuts,451,19.3,22.9,47.2,0,42,4.9,0,0,0.32,0.41,0,0,0
"Watermelon seed, Seasoned, Roasted",Seeds and nuts,546,29.6,46.4,13.4,7.1,70,5.3,580,0,0.1,0.16,0,25000,60
"Flax seeds, Roasted",Seeds and nuts,564,21.9,43.5,30.5,24,210,9,70,1.25,0.01,0.17,0,5700,24000
"Almond, Dried",Seeds and nuts,581,23.44,49.96,20.09,14.5,368,4.76,6,1.416666667,0.029,1.546,0,12928.87,24.19
"Almond, Roasted",Seeds and nuts,594,23.45,51.29,20.49,11.3,337,4.59,2,1.25,0.012,1.364,0,12500.11,24.54
"Almond, Seasoned, Roasted",Seeds and nuts,568,25.74,46.61,21.82,9.6,409,3.74,549,0.916666667,0.013,1.439,0,10866.65,60.71
"Lotus seed, Immature, Raw",Seeds and nuts,85,5.9,0.5,14.9,2.6,53,0.6,2,0.416666667,0.18,0.09,27,180,21
"Ginkgo nut(Ginkgo biloba L.), Raw",Seeds and nuts,203,4.69,1.53,42.78,2.2,7,0.9,1,22.5,0.119,0.033,16.89,652.08,40.53
"Ginkgo nut(Ginkgo biloba L.), Boiled",Seeds and nuts,186,4.31,1.86,38.25,3.5,7,0.79,1,19.08333333,0.173,0.028,7.06,794.54,49.62
"Ginkgo nut(Ginkgo biloba L.), Roasted",Seeds and nuts,221,5,2.05,45.76,4.3,6,0.99,0,24.25,0.222,0.03,10.08,881.41,54.98
"Pine nut, Raw",Seeds and nuts,617,15.01,56.41,22.67,0,18,6.11,0,1.5,0.276,0.062,0,19618.15,77.35
"Pine nut, Dried",Seeds and nuts,640,15.4,61.5,17.6,0,21,15.9,11,0,0.58,0.05,0,0,0
"Pine nut, Roasted",Seeds and nuts,708,17.6,75,4.7,0,10,5.6,11,0,0.37,0.1,0,0,0
Pine nuts curd,Seeds and nuts,78,7.5,4.3,4,0,27,1.2,34,0,0.06,0.04,0,0,0
"Pine nut, Gruel, Cooked",Seeds and nuts,30,0.7,0.9,5,0,12,0.5,126,0,0.01,0.01,0,0,0
"Sesame seeds, Black sesame, Dried",Seeds and nuts,549,20.85,44.12,26.45,22.4,1146,5.8,0,3.416666667,0.676,0.349,0,19830.87,192.43
"Sesame seeds, Black sesame, Roasted",Seeds and nuts,539,21.28,42.3,27.42,19.3,1316,5.32,1,2.25,0.123,2.201,0,18327.28,194.17
"Sesame seeds, White sesame, Dried",Seeds and nuts,556,25.41,45.31,21.77,14.9,750,8.04,4,1.666666667,0.191,0.707,0.68,19191.03,167.1
"Sesame seeds, White sesame, Roasted",Seeds and nuts,557,25.96,45.11,21.83,14.1,854,6.39,2,1.083333333,0.345,2.932,0,18131.05,171.51
"Sesame seed cookie, Yeotgangjung",Seeds and nuts,538,15,32.9,45.4,0,520,4.6,81,0.25,0.36,0.12,0,0,0
"Sesame seed, Gruel, Cooked",Seeds and nuts,38,1,1.2,5.9,0,17,1.3,120,0,0.02,0.02,0,0,0
"Chia seeds, Dried",Seeds and nuts,486,16.54,30.74,42.12,34.4,631,7.72,16,0,0.62,0.17,1.6,5835,17830
"Cashew nuts, seasoned",Seeds and nuts,576,19.8,47.6,26.7,6.7,38,4.8,220,0,0.54,0.18,0,8000,76
"Coconut, Dried",Seeds and nuts,660,6.88,64.53,23.65,16.3,26,3.32,37,0,0.06,0.1,1.5,0,0
"Coconut, Roasted",Seeds and nuts,592,5.3,47,44.4,0,27,3.39,37,0,0.061,0.102,1.5,0,0
Coconut milk,Seeds and nuts,230,2.29,23.84,5.54,2.2,16,1.64,15,0,0.026,0,2.8,0,0
"Coconut water, Fruit juice",Seeds and nuts,19,0.72,0.2,3.71,1.1,24,0.29,105,0,0.03,0.057,2.4,0,0
"Pistachio nut(Pistacia vera L.), Dried",Seeds and nuts,560,20.16,45.32,27.17,10.6,105,3.92,1,25.41666667,0.87,0.16,5.6,14091,0
"Pistachio nut(Pistacia vera L.), Roasted",Seeds and nuts,584,25.99,48.89,20.82,10,101,3.79,4,14.41666667,0.411,0.417,0,15105.77,794.35
"Pistachio nut(Pistacia vera L.) products(Etc.), Roasted, Salted",Seeds and nuts,580,24.2,49,21.2,0,120,5.8,390,12,0.51,0.18,0,0,0
"Pecan(Carya illinoensis), Dried",Seeds and nuts,691,9.17,71.97,13.86,9.6,70,2.53,0,2.416666667,0.66,0.13,1.1,0,0
"Pecan(Carya illinoensis), Seasoned, Roasted",Seeds and nuts,710,9.5,74.27,13.55,9.4,72,2.8,383,7,0.45,0.107,0.7,0,0
"Common sunflower(Helianthus annuus L.) seed, Dried",Seeds and nuts,607,22.33,56.12,14.7,8.1,94,5.12,2,0.833333333,1.156,0.287,0,33937.32,47.39
"Common sunflower(Helianthus annuus L.) seed, Roasted",Seeds and nuts,611,20.1,56.3,17.2,6.9,81,3.6,250,0.75,1.72,0.25,0,28000,90
"Common sunflower(Helianthus annuus L.) seed, Seasoned, Roasted",Seeds and nuts,600,19.5,54.8,18.1,0,85,4.9,72,1.25,1.81,0.19,0,0,0
"Walnut(Juglans regia L.), Dried",Seeds and nuts,688,15.47,71.99,7.92,6.7,81,2.49,3,2.166666667,0.047,0.282,0,41449.7,11461.39
"Walnut(Juglans regia L.), Roasted",Seeds and nuts,671,16,68.4,10.5,0,79,3.3,47,1.916666667,0.19,0.29,0,0,0
"Pumpkin(Cucurbita moschata) seed, Dried",Seeds and nuts,548,35.35,48.18,5.34,4.9,38,8.62,6,2.25,0.088,0.183,0,23936.61,110.37
"Pumpkin(Cucurbita moschata) seed, Japan, Seasoned, Roasted",Seeds and nuts,574,26.5,51.8,12,7.3,44,6.5,47,0,0.21,0,0,21000,120
"Siberian-ginseng(Eleutherococcus senticosus), Young leaf bud, Raw",Vegetables,76,5.67,0.7,15.87,8.8,211,3.43,1,810.6666667,0.213,0.615,100.73,232.2,212.73
"Siberian-ginseng(Eleutherococcus senticosus), Young leaf bud, Blanched",Vegetables,63,5.25,0.85,11.99,11.1,184,2.2,1,467.75,0.276,0.386,62.05,213.64,388.89
"Ailanthus altissima, Young leaf bud, Raw",Vegetables,50,5.33,0.41,9.46,4.9,137,2.5,5,99.33333333,0.563,0.532,2.52,113.64,171.55
"Ailanthus altissima, Young leaf bud, Dried",Vegetables,287,22.4,6.3,50.2,42.8,1051,12.8,0,2139.833333,0.82,1.67,0,0,0
"Ailanthus altissima, Young leaf bud, Blanched",Vegetables,49,4.78,0.51,9.25,5.9,131,1.63,3,209.9166667,0.062,0.239,1.77,127.35,240.06
"Eggplant(Solanum melongena L.), Raw",Vegetables,19,1.13,0.03,4.36,2.7,16,0.26,0,4.333333333,0.035,0.163,0,0,0
"Eggplant(Solanum melongena L.), Dried",Vegetables,290,14.53,2.4,65.59,29.4,235,3.47,13,42.58333333,0.125,0.772,0,853.34,299
"Eggplant(Solanum melongena L.), Blanched",Vegetables,19,1,0.1,4.4,3.4,17,0.32,1,10.41666667,0.018,0.086,0,42.12,22.18
"Eggplant(Solanum melongena L.), Salted",Vegetables,23,1.4,0.1,5.2,2.7,18,0.6,880,3.666666667,0.03,0.04,7,4,1
"Mustard(Brassica juncea (L.) Czern.), Raw",Vegetables,36,3.5,0.2,7.3,0,193,2.7,33,98.58333333,0.24,0.16,135,0,0
"Mustard(Brassica juncea (L.) Czern.), Dolsan, Raw",Vegetables,24,2.66,0.28,4.22,2.5,156,1.52,5,102.8333333,0,0.101,91,34.16,115.27
"Gangnamjonamul, Dried",Vegetables,223,25.8,0.4,43.8,0,518,2.7,0,16.16666667,0.07,0.05,4,0,0
"Gaemchu, Dried",Vegetables,286,17.7,2,63.2,0,92,2.2,0,16.91666667,0.02,0.04,1,0,0
"Coastal hogfennel(Peucedanum japonicum), Leaves, Cultivated in open field, Raw",Vegetables,41,3.94,0.32,7.95,5.1,200,1.47,3,154.9166667,0.051,0.477,19.45,116.92,66.74
"Coastal hogfennel(Peucedanum japonicum), Leaves, Cultivated in open field, Blanched",Vegetables,44,3.62,0.57,8.54,6.4,187,0.88,2,179.4166667,0.032,0.279,19.45,155.79,221.57
"Coastal hogfennel(Peucedanum japonicum), Young leaves, Cultivated in open field, Raw",Vegetables,53,4.17,0.52,10.91,7.1,181,1.26,2,126.8333333,0.056,0.67,38.08,189.33,105.24
"Coastal hogfennel(Peucedanum japonicum), Young leaves, Cultivated in open field, Blanched",Vegetables,53,4.11,0.8,10.17,7.4,179,1.07,3,183.9166667,0,0.333,38.08,215.14,313.3
"Coastal hogfennel(Peucedanum japonicum), Leaves, Cultivated in green house, Raw",Vegetables,50,3.12,0.44,10.75,6.2,226,0.77,9,113.3333333,0.078,0.284,57.74,164.92,76.37
"Coastal hogfennel(Peucedanum japonicum), Leaves, Cultivated in green house, Blanched",Vegetables,51,3.41,0.79,10.24,7.1,228,0.8,7,214.0833333,0,0.278,57.74,195.69,314.78
"Coastal hogfennel(Peucedanum japonicum), Young leaves, Cultivated in green house, Raw",Vegetables,44,3.59,0.36,9.12,6.4,259,0.99,4,173.8333333,0.074,0.606,58.63,137.73,68.62
"Coastal hogfennel(Peucedanum japonicum), Young leaves, Cultivated in green house, Blanched",Vegetables,47,4.28,0.69,8.64,5.4,243,0.82,4,218.25,0.03,0.274,58.63,180.58,281.16
"Radish(Raphanus sativus), Gegeol, Roots, Raw",Vegetables,59,2.3,0.1,13.6,0,42,1.3,18,0,0.13,0.01,16,0,0
"Radish(Raphanus sativus), Gegeol, Leaves, Raw",Vegetables,23,2.7,0.2,4.2,0,106,10.7,24,405,0.11,0.34,25,0,0
"Mustard(Brassica juncea), Red mustard, Raw",Vegetables,24,3.03,0.17,4.19,2.6,256,3.09,36,292.9166667,0.277,0.277,0,27.57,71.46
"Sweet potato, Leaves, Raw",Vegetables,47,3.92,0.44,7.34,5.8,196,5.64,0,571.1666667,0.227,0.297,8.31,43.83,234.66
"Sweet potato, Leaves, Blanched",Vegetables,41,3.44,0.62,5.8,5.4,186,3.38,1,474.8333333,0,0.227,0,55.71,403.52
"Sweet potato, Stems, Raw",Vegetables,18,0.76,0.02,3.63,2.2,92,0.41,1,3.25,0.023,0.016,1.7,3.94,0
"Sweet potato, Stems, Dried",Vegetables,332,6.07,0.47,75.53,34.1,1166,7.11,12,0,0.197,1.084,0,12.32,6.93
"Sweet potato, Stems, Boiled and dried, Boiled",Vegetables,23,0.48,0.11,4.96,4.5,125,0.45,3,9.25,0,0.01,0,38.64,21.68
"Sweet potato, Stems, Boiled",Vegetables,14,0.45,0.05,2.88,1.8,65,0.26,1,8.5,0.057,0.011,0,16.8,9.54
"Sweet potato, Stems, Without skin, Blanched",Vegetables,17,0.59,0.05,3.64,2.2,89,0.31,1,8.916666667,0.006,0.016,0,17.66,10.46
"Sweet potato, Stems, With skin, Raw",Vegetables,23,0.88,0.03,4.96,3.5,132,0.33,1,11.91666667,0.072,0.022,0.62,6.03,3.99
"Sweet potato, Stems, With skin, Boiled and dried, Boiled",Vegetables,33,0.52,0.06,7.51,7.4,206,0.52,6,0,0,0.03,0.16,1.8,0
"Sweet potato, Stems, With skin, Blanched",Vegetables,22,0.74,0.06,4.65,3.1,126,0.4,2,25.25,0.057,0.023,0.02,21.52,14.5
"Korean youngia(Youngia sonchifolia), Raw",Vegetables,29,1.6,0.5,5.8,0,82,10.8,34,11.5,0.09,0.09,7,0,0
"Korean youngia(Youngia denticulata), Raw",Vegetables,39,2.5,0.4,8.2,3.3,128,4.8,57,5.666666667,0.13,0.17,15,0,0
"Korean thistle(Cirsium setidens), Wild, Dried",Vegetables,275,20.5,3.9,53.9,0,88,2.7,0,18.83333333,0.03,0.07,1,0,0
"Korean thistle(Cirsium setidens), Cultivated, Dried",Vegetables,310,5.6,2.8,76.4,0,51,2,0,21.83333333,0.04,0.09,2,0,0
"Korean thistle(Cirsium setidens), Native, Leaves, Raw",Vegetables,32,3.47,1.38,3.29,0,269,2.04,0,289.9166667,0.396,0.171,11.96,72.59,94.24
"Royal fern(Osmunda japonica Thunb.), Wild, Raw",Vegetables,28,1.72,0.13,6.41,3.7,15,0.71,1,29.66666667,0,0.023,6.41,21.06,17.57
"Royal fern(Osmunda japonica Thunb.), Wild, Dried, Boiled",Vegetables,31,1.68,0.26,6.84,4,36,0.75,4,3.083333333,0,0.193,0,39.02,52.63
"Royal fern(Osmunda japonica Thunb.), Wild, Boiled and dried",Vegetables,299,17.95,1.7,67.51,36.2,226,7.18,28,369,0,1.369,0,304.95,396.54
"Royal fern(Osmunda japonica Thunb.), Wild, Boiled",Vegetables,25,1.58,0.16,5.43,3.5,16,0.29,2,45.58333333,0,0.048,1.96,28.23,37.7
"Royal fern, Cultivated, Raw",Vegetables,28,2.1,0.1,6.2,0,14,3.7,6,71.58333333,0.03,0.11,33,0,0
"Bracken(Pteridium aquilinum (L.) Kuhn), Raw",Vegetables,22,2.9,0.17,3.8,3.4,9,0.88,0,24.91666667,0.011,0.137,2.58,41.27,11.15
"Bracken(Pteridium aquilinum (L.) Kuhn), Dried",Vegetables,261,25.8,0.6,54.2,0,188,6.4,15,16.16666667,0.11,0.51,0,0,0
"Bracken(Pteridium aquilinum (L.) Kuhn), Boiled and dried",Vegetables,273,27.85,0.34,56.58,42,147,6.75,24,366.6666667,0.054,0.776,5.56,646.83,390.02
"Bracken(Pteridium aquilinum (L.) Kuhn), Blanched",Vegetables,21,2.74,0.24,3.55,2.7,15,0.48,2,40.41666667,0.004,0.097,8.38,55.35,31.65
"Coriander(Coriandrum sativum L.), Raw",Vegetables,33,4.6,0.2,5.6,0,46,21.4,5,0,0.03,0.21,2,0,0
"Hot pepper(Capsicum annuum L.), Green, Raw",Vegetables,29,1.71,0.19,6.42,4.4,15,0.5,1,38.16666667,0.008,0.076,43.95,108.28,15.36
"Hot pepper(Capsicum annuum L.), Sprouts, Raw",Vegetables,21,2.6,0.1,3.8,0,39,8.5,0,6.833333333,0.04,0.24,8,0,0
"Hot pepper(Capsicum annuum L.), Red, Raw",Vegetables,85,3.12,2.73,15.34,10.2,14,0.75,1,294.75,0.39,0.383,122.74,1612,129.89
"Hot pepper(Capsicum annuum L.), Red, Dried",Vegetables,312,13.88,8.71,57.47,35.8,57,3.97,4,1161.666667,0.129,2.465,0,4729.99,638.69
"Hot pepper(Capsicum annuum L.), Shishito, Raw",Vegetables,33,1.83,0.13,7.78,3.2,15,0.6,2,39.5,0.07,0.094,56.7,63.46,11.83
"Hot pepper(Capsicum annuum L.), Nokkwang, Red, Raw",Vegetables,41,2.3,1.3,6.9,0,12,1,11,0,0,0,170,0,0
"Hot pepper(Capsicum annuum L.), Sirena, Yellowish green, Raw",Vegetables,19,1,0.1,4.4,0,5,0.4,3,0.5,0.06,0.02,40,0,0
"Hot pepper(Capsicum annuum L.), Nokkwang, Green, Raw",Vegetables,27,1.4,0.8,4.6,0,14,0.9,9,0,0,0,72,0,0
"Hot pepper(Capsicum annuum L.), Subicho, Red, Raw",Vegetables,77,3.7,1.8,14.8,0,17,0.9,2,0,0.32,0.66,142,0,0
"Hot pepper(Capsicum annuum L.), Sirena, Green, Raw",Vegetables,23,1.1,0.1,5.4,0,4,0.5,3,12,0.05,0.03,47,0,0
"Hot pepper(Capsicum annuum L.), Gilsang, Green, Raw",Vegetables,23,0.99,0.12,5.51,2.7,11,0.39,1,32.83333333,0.137,0.038,78.01,60.11,13.52
"Hot pepper(Capsicum annuum L.), Native, Green, Raw",Vegetables,26,1.2,0.2,6,5.6,13,0.4,0,1.666666667,0.2,0.04,0,0,0
"Hot pepper, Cheongyang, Green, Raw",Vegetables,31,1.53,0.3,7.01,4.7,10,0.51,1,38,0.042,0.055,51.35,192.3,17.7
"Hot pepper(Capsicum annuum L.), Leaves, Raw",Vegetables,45,5.07,0.32,8.49,2.8,369,4.35,4,433.5833333,0.123,0.322,24.03,64.85,72.86
"Hot pepper(Capsicum annuum L.), Leaves, Dried",Vegetables,266,35.43,5.3,37.8,33.7,1495,31.61,25,2116.75,0.929,4.885,13.89,998.97,2622.89
"Hot pepper(Capsicum annuum L.), Leaves, Boiled and dried, Boiled",Vegetables,41,4.41,0.76,6.66,6.5,590,2,4,632.75,0.029,0.097,6.06,144.16,362.41
"Hot pepper(Capsicum annuum L.), Leaves, Blanched",Vegetables,51,5.16,0.85,8.9,6.9,457,1.85,2,557.8333333,0.257,0.301,8.21,150.76,438.54
"Hot pepper, Pickled(Jangajji)",Vegetables,124,2.39,0.63,31.49,4.8,16,1.1,2026,24.25,0.195,0.024,11.8,404.62,46.48
"Horseradish(Eutrema japonica), Roots, Raw",Vegetables,103,2.9,0.5,23.7,0,41,0.6,1,1.333333333,0.01,0.18,19,0,0
"Horseradish(Eutrema japonica), Leaves, Raw",Vegetables,36,3.7,0.5,6.3,0,73,4,0,9.5,0.25,0.26,100,0,0
"Horseradish(Eutrema japonica), Stem, Raw",Vegetables,24,0.9,0.2,5.6,0,18,1,0,1.5,0.09,0.04,53,0,0
"Ligularia stenocephala, Raw",Vegetables,42,1.8,0.5,9.4,0,197,6.2,2,358.3333333,0.1,0.26,44,0,0
"Ligularia stenocephala, Blanched",Vegetables,35,1.8,0.5,7.4,0,207,5,2,297.5833333,0.08,0.17,13,0,0
"Ligularia fischeri, Leaves, Raw",Vegetables,32,3.04,0.49,5.77,4.1,135,1.6,2,319.5,0.006,0.334,7.97,78.48,297.93
"Ligularia fischeri, Leaves, Blanched",Vegetables,35,3.28,0.64,6.09,3.7,133,1.02,1,226.3333333,0.044,0.346,11.63,93.93,409.53
"Ligularia fischeri, Leaves, Wild, Dried",Vegetables,307,5.1,4.9,71.1,0,45,2.1,0,41.66666667,0.3,0.08,5,0,0
"Ligularia fischeri, Leaves, Cultivated, Dried",Vegetables,306,8,4.7,69.2,0,42,1.5,0,45.91666667,0.26,0.12,7,0,0
"Water Spinach(Ipomoea aquatica), Leaves, Raw",Vegetables,17,2.2,0.1,3.1,3.1,74,1.5,26,358.3333333,0.1,0.2,19,0,0
"Water Spinach(Ipomoea aquatica), Leaves, Blanched",Vegetables,21,2.2,0.1,4.1,3.4,90,1,16,316.6666667,0.06,0.1,6,0,0
"Cudrama tricuspidata, Leaves, Raw",Vegetables,85,5.06,0.51,19.18,13.5,595,1.74,7,416.9166667,0.083,0.752,29.3,95.15,245.41
"Cudrama tricuspidata, Leaves, Dried",Vegetables,282,18.25,1.4,63.3,32.3,1574,11.5,4,894.5,0.772,1.997,164.19,258.46,654.11
"Cudrama tricuspidata, Leaves, Boiled",Vegetables,61,3.93,0.51,13.15,7.2,415,1.74,1,288.25,0.055,0.263,54.87,80.54,290.28
"Lycium chinense Mill., Young leaf bud, Korean native, Raw",Vegetables,50,6.27,1.08,7.05,5.1,10,1.58,2,93.08333333,0.077,0.274,15.82,101.62,156.36
"Lycium chinense Mill., leaves, Korean native, Raw",Vegetables,56,6.33,1.57,7.77,5.4,572,2.32,8,404.4166667,0.127,0.399,10.22,101.51,371.24
"Chrysanthemum morifolium, Flower, Raw",Vegetables,27,1.4,0,6.5,3.4,22,0.7,2,5.583333333,0.1,0.11,11,0,0
"Chrysanthemum morifolium, Flower, Dried",Vegetables,292,11.6,0.2,73.5,29.6,160,11,14,15,0.73,0.89,10,0,0
"Chrysanthemum morifolium, Flower, Blanched",Vegetables,23,1,0,5.7,2.9,16,0.5,1,5.083333333,0.06,0.07,5,0,0
"Chard(Beta vulgaris L. var. cicla L.), Raw",Vegetables,18,1.78,0.2,3.28,2.7,49,0.53,173,253.8333333,0.094,0.108,4.8,35.8,86.13
"Chard(Beta vulgaris L. var. cicla L.), Blanched",Vegetables,20,1.79,0.2,3.95,2.6,61,0.46,138,290,0,0.064,0,32.55,106.04
"Kimchi, Gatkimchi(Mustard leaves)",Vegetables,37,3.26,0.4,7.07,3,103,0.83,720,101.0833333,0.108,0.34,1.65,176.62,75.87
"Kimchi, Godeulppaegi(Youngia sonchifolia)",Vegetables,88,4.1,2.7,11.9,0,115,4.1,2231,0,0.31,0.15,11,0,0
"Kimchi, Kkakduki(Seasoned cubed radish roots)",Vegetables,38,1.43,0.19,7.54,4.3,41,0.33,501,16.08333333,0.049,0.063,0.82,99.92,18.77
"Kimchi, Nabakkimchi(Sliced radish)",Vegetables,7,0.34,0.07,1.27,1.2,12,0.1,421,15.08333333,0.045,0.03,3.5,30.57,15.08
"Kimchi, Dongchimi(Radish), Without red pepper powder",Vegetables,8,0.33,0.01,1.77,0.5,10,0.07,533,1.333333333,0.02,0.013,2.32,3.57,2.02
