name,ingredient,weight,category,note
,"Sesame seeds, White sesame, Roasted",0.1,,
S cucumber carrot stick,"Cucumber(Cucumis sativus L.), Gyeoulsaricheongjang , Raw",15,Salad (snack),Western
,"Carrot, Roots, Raw",15,,
S cucumber stick,"Cucumber(Cucumis sativus L.), Gyeoulsaricheongjang , Raw",30,Salad (snack),Western
S sweet potato salad with crushed nuts (yoghurt),"Sweet potato, Dry and firm type, Raw",50,Salad (snack),Western
,"Yoghurt, Curd type, Plain",40,,
,"Almond, Roasted",2,,
,Honey,1,,
S korean melon salad,"Oriental melon(Cucumis melo subsp. melo), With seeds, Raw",20,Salad (snack),Western
,"Lettuce, Iceberg, Raw",15,,
,"Almond, Dried",3,,
,"Vinegar, Apple, With acetic acid 5.0%",1.5,,
,Olive(Olea europaea L.) oil,1.5,,
,Honey,1.5,,
,"Salt, Table salt",0.3,,
,"Pepper(Piper nigrum L.), Black, Powder",0.2,,
S scrambled eggs with vegetables,"Egg, Whole, Raw",30,Salad (snack),Western
,Cow's milk,10,,
,"Carrot, Roots, Raw",5,,
,"Onion, Raw",5,,
,Soybean oil,1,,
,"Salt, Table salt",0.2,,
,"Pepper(Piper nigrum L.), Black, Powder",0.1,,
S tomato tofu salad,"Tomato, Raw",15,Salad (snack),Korean
,"Soy sauce, Fermented type",2,,
,"Sugars, White sugar",2,,
,"Vinegar, Brewing",2,,
,Olive(Olea europaea L.) oil,2,,
,"Tofu, Firm",20,,
,"Lettuce, Iceberg, Raw",5,,
,"Paprika(Capsicum annuum L), Yellow, Raw",5,,
,"Paprika(Capsicum annuum L), Red, Raw",5,,
S paprika stick,"Paprika(Capsicum annuum L), Red, Raw",40,Salad (snack),Western
S fusilli salad,"Pasta, Macaroni, Dry noodle",15,Salad (snack),Western
,"Paprika(Capsicum annuum L), Yellow, Raw",5,,
,"Paprika(Capsicum annuum L), Red, Raw",5,,
,"Tomato, Cherry tomato, Raw",5,,
,Tomato ketchup,5,,
,"Onion, Raw",5,,
S sweet potato shake,Cow's milk,140,Milk (snack),Western
,"Sweet potato, Dry and firm type, Steamed",50,,
S yoghurt (100ml),"Yoghurt, Curd type, Plain",100,Milk (snack),Western
S banana shake,"Banana, Raw",100,Milk (snack),Western
,Cow's milk,150,,
S peach walnut smoothie,"Peach, White, Raw",80,Milk (snack),Western
,Cow's milk,100,,
,"Walnut(Juglans regia L.), Dried",5,,
S blueberry banana shake,"Blueberries, Raw",60,Milk (snack),Western
,"Banana, Raw",60,,
,"Walnut(Juglans regia L.), Dried",10,,
,Cow's milk,100,,
S homestyle strawberry milk,Cow's milk,200,Milk (snack),Western
,"Strawberries, Improved, Raw",50,,
S homestyle banana milk,Cow's milk,100,Milk (snack),Western
,"Banana, Raw",50,,
S homestyle blueberry banana milk,"Blueberries, Raw",30,Milk (snack),Western
,"Banana, Raw",10,,
,Cow's milk,150,,
S homestyle blueberry milk,Cow's milk,200,Milk (snack),Western
,"Blueberries, Raw",75,,
S yakult,"Yoghurt, Liquid type",80,Milk (snack),Western
S milk (100ml),Cow's milk,100,Milk (snack),Western
S milk (150ml),Cow's milk,150,Milk (snack),Western
S milk (200ml),Cow's milk,200,Milk (snack),Western
S milk with misugaru (mixed grain powder),"Barley, Parched powder",15,Milk (snack),Korean
,Cow's milk,150,,
,"Sugars, White sugar",2.5,,
S tomato shake,"Tomato, Raw",110,Milk (snack),Western
,"Yoghurt, Liquid type",50,,
,"Yam(Dioscorea japonica Thunb.), Raw",3,,
,"Sugars, White sugar",5,,
S walnut tofu shake,"Walnut(Juglans regia L.), Dried",5,Milk (snack),Korean
,"Tofu, Firm",40,,
,"Sugars, White sugar",5,,
,Cow's milk,80,,
S walnut milk,Cow's milk,200,Milk (snack),Western
,"Walnut(Juglans regia L.), Roasted",5,,
S black sesame soy milk (100ml),"Soymilk, Black bean and black sesame",100,Drink (snack),Western
S black sesame soy milk (150ml),"Soymilk, Black bean and black sesame",150,Drink (snack),Western
S black sesame soy milk (200ml),"Soymilk, Black bean and black sesame",200,Drink (snack),Western
S black soybean milk (100ml),"Soymilk, Black bean",100,Drink (snack),Western
S black soybean milk (150ml),"Soymilk, Black bean",150,Drink (snack),Western
S black soybean milk (200ml),"Soymilk, Black bean",200,Drink (snack),Western
S fruit soft tofu smoothie,"Tofu, Silken, Soft",40,Drink (snack),Korean
,"Apple, Fuji, Raw",20,,
,"Orange, Raw",20,,
,Starch syrup,5,,
S soy milk (100ml),"Soymilk, Soybean",100,Drink (snack),Western
S soy milk (150ml),"Soymilk, Soybean",150,Drink (snack),Western
S soy milk (200ml),"Soymilk, Soybean",200,Drink (snack),Western
S vegemil,"Soymilk, Soybean",200,Drink (snack),Korean
S soy milk,"Soymilk, 0.3% Salt",200,Drink (snack),Western
S soy-based deep-fried chicken nuggets,"Chicken, Breast, Meat only, Raw",25,Combo meal (snack),Korean
,"Wheat flour, Frying, Seasoned, Dry mix",7,,
,Soybean oil,3,,
,"Egg, Whole, Raw",5,,
,"Soy sauce, Fermented type",3,,
,"Garlic, Bulb, Raw",1,,
,"Sugars, White sugar",0.2,,
,"Salt, Table salt",0.2,,
,"Pepper(Piper nigrum L.), Black, Powder",0.1,,
S deep-fried chicken nuggets,"Chicken, Breast, Meat only, Raw",25,Combo meal (snack),Korean
,"Wheat flour, Frying, Seasoned, Dry mix",7,,
,Soybean oil,3,,
,"Egg, Whole, Raw",5,,
,Oyster sauce,2.5,,
,Tomato ketchup,5,,
,"Garlic, Bulb, Raw",1,,
,"Sugars, White sugar",0.2,,
,"Salt, Table salt",0.2,,
,"Pepper(Piper nigrum L.), Black, Powder",0.1,,
S pan-fried pollack,"Alaska pollock(Theragra chalcogramma), Frozen",30,Combo meal (snack),Korean
,"Egg, Whole, Raw",5,,
,"Wheat flour, Pan-frying, Seasoned, Dry mix",3,,
,Soybean oil,1.5,,
,"Pepper(Piper nigrum L.), Black, Powder",0.1,,
,"Salt, Table salt",0.1,,
S tofu,"Tofu, Firm",40,Combo meal (snack),Korean
S hard boiled egg (30g),"Egg, Whole, Boiled",30,Combo meal (snack),Western
S hard boiled egg (50g),"Egg, Whole, Boiled",50,Combo meal (snack),Western
S scrambled egg (butter),"Egg, Whole, Raw",30,Combo meal (snack),Western
,Butter,2,,
,"Salt, Table salt",0.2,,
,Cow's milk,5,,
S scrambled eggs,"Egg, Whole, Raw",30,Combo meal (snack),Western
,Cow's milk,10,,
,Soybean oil,1,,
,"Salt, Table salt",0.2,,
,"Pepper(Piper nigrum L.), Black, Powder",0.1,,
S scrambled eggs with spinach,"Egg, Whole, Raw",30,Combo meal (snack),Western
,"Spinach, Raw",10,,
,Cow's milk,10,,
,Soybean oil,1,,
,"Salt, Table salt",0.2,,
,"Pepper(Piper nigrum L.), Black, Powder",0.1,,
S soft tofu + marinade sauce,"Tofu, Silken, Soft",70,Combo meal (snack),Korean
,"Soy sauce, Fermented type",1,,
,"Welsh onion, Shallot(Allium ascalonicum L.), Raw",0.5,,
,"Sesame seeds, White sesame, Roasted",0.2,,
,Sesame oil,0.5,,
S cheese scrambled eggs,"Egg, Whole, Raw",30,Combo meal (snack),Western
,"Cheese, Cheddar",10,,
,Soybean oil,1,,
,"Salt, Table salt",0.2,,
,"Pepper(Piper nigrum L.), Black, Powder",0.1,,
S cheese stick,"Cheese, Mozzarella",40,Combo meal (snack),Western
,Soybean oil,2,,
S scrambled eggs with tomato,"Tomato, Cherry tomato, Raw",70,Combo meal (snack),Western
,"Egg, Whole, Raw",30,,
,Cow's milk,15,,
,Soybean oil,1.5,,
,"Salt, Table salt",0.2,,
,"Pepper(Piper nigrum L.), Black, Powder",0.1,,
S (processed) beef soup,"Soups, Beef, Powder",15,Soup (snack),Western
S (processed) cream soup,"Soups, Cream, Powder",15,Soup (snack),Western
S aubergine tofu porridge,"Eggplant(Solanum melongena L.), Raw",15,Soup (snack),Korean
,Sesame oil,1.2,,
,"Salt, Table salt",0.2,,
,"Tofu, Firm",10,,
,"Rice, White, Raw",25,,
S aubergine porridge,"Eggplant(Solanum melongena L.), Raw",15,Soup (snack),Korean
,Sesame oil,1.2,,
,"Salt, Table salt",0.2,,
,"Rice, White, Raw",25,,
S potato soy paste porridge,"Potato, Daeji, Raw",15,Soup (snack),Korean
,Sesame oil,1.2,,
,"Doenjang, Korean traditional type",1,,
,"Rice, White, Raw",25,,
S potato sweet milk porridge,"Potato, Daeji, Raw",15,Soup (snack),Korean
,"Rice, White, Raw",20,,
,Cow's milk,50,,
,"Onion, Raw",5,,
,"Salt, Table salt",0.2,,
,Sesame oil,1.2,,
S potato porridge,"Potato, Daeji, Raw",15,Soup (snack),Korean
,"Rice, White, Raw",20,,
,"Pumpkin(Cucurbita moschata), Young pumpkin, Raw",5,,
,"Carrot, Roots, Raw",3,,
,"Salt, Table salt",0.2,,
,Sesame oil,1.2,,
S potato sweet rice porridge,"Potato, Daeji, Raw",15,Soup (snack),Korean
,"Glutinous rice, Raw",10,,
,Sesame oil,1.2,,
,"Salt, Table salt",0.2,,
,"Rice, White, Raw",15,,
S potato vagetable porridge,"Potato, Daeji, Raw",15,Soup (snack),Korean
,"Rice, White, Raw",20,,
,"Broccoli, Raw",5,,
,"Onion, Raw",5,,
,"Pumpkin(Cucurbita moschata), Young pumpkin, Raw",5,,
,"Carrot, Roots, Raw",3,,
,"Salt, Table salt",0.2,,
